# x(m) y(m) ele(m) obs-val(mGal|Eo) obs-dev(mGal|Eo)
4 4 50 0.0002394266087121398 0
12 4 50 0.0002452880874474688 0
20 4 50 0.0002511572141835956 0
28 4 50 0.0002570131388550261 0
36 4 50 0.0002628326227726986 0
44 4 50 0.0002685899854674954 0
52 4 50 0.0002742570954083672 0
60 4 50 0.0002798034155522821 0
68 4 50 0.0002851961153517334 0
76 4 50 0.0002904002610581108 0
84 4 50 0.0002953790957316167 0
92 4 50 0.0003000944191076456 0
100 4 50 0.0003045070752000962 0
108 4 50 0.0003085775520723837 0
116 4 50 0.0003122666934899876 0
124 4 50 0.0003155365161761294 0
132 4 50 0.0003183511192411944 0
140 4 50 0.0003206776643377689 0
148 4 50 0.0003224873966511581 0
156 4 50 0.0003237566686066213 0
164 4 50 0.0003244679209143533 0
172 4 50 0.0003246105701425552 0
180 4 50 0.0003241817492343856 0
188 4 50 0.0003231868479998044 0
196 4 50 0.0003216398051014456 0
204 4 50 0.0003195631115948763 0
212 4 50 0.0003169874984403483 0
220 4 50 0.0003139512959616559 0
228 4 50 0.0003104994709823822 0
236 4 50 0.0003066823660563863 0
244 4 50 0.0003025541834002918 0
252 4 50 0.0002981712724086396 0
260 4 50 0.0002935902926769119 0
268 4 50 0.0002888663332322686 0
276 4 50 0.0002840510724570723 0
284 4 50 0.0002791910616714651 0
292 4 50 0.0002743262086214887 0
300 4 50 0.0002694885257103718 0
308 4 50 0.0002647011926062567 0
316 4 50 0.0002599779650325047 0
324 4 50 0.0002553229425011162 0
332 4 50 0.000250730688910537 0
340 4 50 0.0002461866826816298 0
348 4 50 0.00024166805860341 0
356 4 50 0.0002371445926254596 0
364 4 50 0.0002325798739250198 0
372 4 50 0.0002279326057120735 0
380 4 50 0.0002231579771019987 0
388 4 50 0.0002182090523705076 0
396 4 50 0.0002130381302233952 0
404 4 50 0.0002075980335239086 0
412 4 50 0.0002018432984048784 0
420 4 50 0.0001957312401628404 0
428 4 50 0.000189222881227895 0
436 4 50 0.0001822837334716661 0
444 4 50 0.0001748844329376519 0
452 4 50 0.0001670012296947976 0
460 4 50 0.0001586163389702592 0
468 4 50 0.0001497181621296648 0
