# x(m) y(m) ele(m) obs-val(mGal|Eo) obs-dev(mGal|Eo)
4 4 50 -0.0002409014867807209 0
12 4 50 -0.0002446054212554454 0
20 4 50 -0.0002482675233647548 0
28 4 50 -0.0002518782229576446 0
36 4 50 -0.0002554276807007275 0
44 4 50 -0.0002589058899275526 0
52 4 50 -0.0002623027983752435 0
60 4 50 -0.0002656084498743665 0
68 4 50 -0.000268813145145857 0
76 4 50 -0.0002719076197202442 0
84 4 50 -0.0002748832356396077 0
92 4 50 -0.0002777321820622607 0
100 4 50 -0.0002804476782322617 0
108 4 50 -0.0002830241705909346 0
116 4 50 -0.0002854575142378107 0
124 4 50 -0.0002877451276546518 0
132 4 50 -0.0002898861087844507 0
140 4 50 -0.0002918813004064078 0
148 4 50 -0.0002937332934548646 0
156 4 50 -0.0002954463586379938 0
164 4 50 -0.0002970262994902252 0
172 4 50 -0.0002984802238122608 0
180 4 50 -0.0002998162351585929 0
188 4 50 -0.0003010430513509812 0
196 4 50 -0.0003021695625369634 0
204 4 50 -0.0003032043466058545 0
212 4 50 -0.0003041551643207869 0
220 4 50 -0.0003050284598528746 0
228 4 50 -0.0003058288941210634 0
236 4 50 -0.0003065589381968658 0
244 4 50 -0.0003072185519375342 0
252 4 50 -0.0003078049690498416 0
260 4 50 -0.0003083126042194916 0
268 4 50 -0.0003087330911593118 0
276 4 50 -0.000309055452939493 0
284 4 50 -0.0003092663983213102 0
292 4 50 -0.0003093507305991619 0
300 4 50 -0.0003092918491995043 0
308 4 50 -0.0003090723194501146 0
316 4 50 -0.00030867448284962 0
324 4 50 -0.0003080810790176597 0
332 4 50 -0.0003072758512936165 0
340 4 50 -0.0003062441105073366 0
348 4 50 -0.0003049732354488629 0
356 4 50 -0.000303453093582078 0
364 4 50 -0.0003016763710897419 0
372 4 50 -0.0002996388069143989 0
380 4 50 -0.0002973393306407193 0
388 4 50 -0.0002947801085103021 0
396 4 50 -0.0002919665053558845 0
404 4 50 -0.000288906972694095 0
412 4 50 -0.0002856128746413503 0
420 4 50 -0.0002820982638243483 0
428 4 50 -0.0002783796192043341 0
436 4 50 -0.0002744755569148365 0
444 4 50 -0.0002704065240190564 0
452 4 50 -0.0002661944836987481 0
