# y(m)-easting x(m)-northing ele(m) obs-val(mGal|Eo) obs-dev(mGal|Eo)
-500 -500 50 -1.447623709312155 0
-490 -500 50 -1.458116157838317 0
-480 -500 50 -1.468472153685574 0
-470 -500 50 -1.478680519814039 0
-460 -500 50 -1.488729743918726 0
-450 -500 50 -1.49860798257348 0
-440 -500 50 -1.508303066815996 0
-430 -500 50 -1.517802509345437 0
-420 -500 50 -1.527093513422685 0
-410 -500 50 -1.536162983626254 0
-400 -500 50 -1.544997538591146 0
-390 -500 50 -1.553583525851058 0
-380 -500 50 -1.561907038953668 0
-370 -500 50 -1.569953936983591 0
-360 -500 50 -1.577709866606082 0
-350 -500 50 -1.585160286801516 0
-340 -500 50 -1.59229049644432 0
-330 -500 50 -1.599085664814747 0
-320 -500 50 -1.605530865219827 0
-310 -500 50 -1.611611111845364 0
-300 -500 50 -1.617311399929542 0
-290 -500 50 -1.622616749390935 0
-280 -500 50 -1.627512252006751 0
-270 -500 50 -1.631983122212654 0
-260 -500 50 -1.636014751587401 0
-250 -500 50 -1.639592767087059 0
-240 -500 50 -1.642703093017744 0
-230 -500 50 -1.645332016763578 0
-220 -500 50 -1.647466258246793 0
-210 -500 50 -1.649093043014768 0
-200 -500 50 -1.650200178912945 0
-190 -500 50 -1.650776136134104 0
-180 -500 50 -1.650810130535115 0
-170 -500 50 -1.650292209948696 0
-160 -500 50 -1.649213343238244 0
-150 -500 50 -1.647565511784721 0
-140 -500 50 -1.64534180300698 0
-130 -500 50 -1.642536505526795 0
-120 -500 50 -1.639145205463316 0
-110 -500 50 -1.635164883374634 0
-100 -500 50 -1.630594011174555 0
-90 -500 50 -1.62543264848611 0
-80 -500 50 -1.619682537643309 0
-70 -500 50 -1.613347196645662 0
-60 -500 50 -1.606432009271805 0
-50 -500 50 -1.598944311457324 0
-40 -500 50 -1.590893473166489 0
-30 -500 50 -1.582290974740062 0
-20 -500 50 -1.573150476872786 0
-10 -500 50 -1.563487883228629 0
0 -500 50 -1.553321394764288 0
10 -500 50 -1.542671554822398 0
20 -500 50 -1.531561284040225 0
30 -500 50 -1.520015904223285 0
40 -500 50 -1.508063150262865 0
50 -500 50 -1.49573316934372 0
60 -500 50 -1.483058506722044 0
70 -500 50 -1.470074077350321 0
80 -500 50 -1.456817122858916 0
90 -500 50 -1.443327153433215 0
100 -500 50 -1.429645874206383 0
110 -500 50 -1.415817096024672 0
120 -500 50 -1.401886630490877 0
130 -500 50 -1.38790216934605 0
140 -500 50 -1.373913148454134 0
150 -500 50 -1.35997059675212 0
160 -500 50 -1.346126970689098 0
170 -500 50 -1.332435974883615 0
180 -500 50 -1.318952369798015 0
190 -500 50 -1.305731767421713 0
200 -500 50 -1.292830416105971 0
210 -500 50 -1.280304975743213 0
220 -500 50 -1.268212284682896 0
230 -500 50 -1.256609119799308 0
240 -500 50 -1.245551951248878 0
250 -500 50 -1.235096693485059 0
260 -500 50 -1.225298454163073 0
270 -500 50 -1.216211282597616 0
280 -500 50 -1.207887919359915 0
290 -500 50 -1.200379548734082 0
300 -500 50 -1.193735555553117 0
310 -500 50 -1.188003287999857 0
320 -500 50 -1.183227827832035 0
330 -500 50 -1.17945176945743 0
340 -500 50 -1.176715009103009 0
350 -500 50 -1.175054545343274 0
360 -500 50 -1.174504292050419 0
370 -500 50 -1.175094904718375 0
380 -500 50 -1.176853621074275 0
390 -500 50 -1.179804116641662 0
400 -500 50 -1.183966375981059 0
410 -500 50 -1.189356580015276 0
420 -500 50 -1.195987009928597 0
430 -500 50 -1.203865967899586 0
440 -500 50 -1.212997714893311 0
450 -500 50 -1.223382425659701 0
460 -500 50 -1.235016160977181 0
470 -500 50 -1.247890857109126 0
480 -500 50 -1.261994332431453 0
490 -500 50 -1.277310311096282 0
500 -500 50 -1.293818463537367 0
510 -500 50 -1.311494463609132 0
520 -500 50 -1.330310062115393 0
530 -500 50 -1.350233176396091 0
540 -500 50 -1.371227995679614 0
550 -500 50 -1.393255101809569 0
560 -500 50 -1.416271604900782 0
570 -500 50 -1.440231293535277 0
580 -500 50 -1.465084798923129 0
590 -500 50 -1.490779772495778 0
600 -500 50 -1.517261076311341 0
610 -500 50 -1.544470985556662 0
620 -500 50 -1.572349402418387 0
630 -500 50 -1.600834080440723 0
640 -500 50 -1.629860858499762 0
650 -500 50 -1.659363903351508 0
660 -500 50 -1.689275959673312 0
670 -500 50 -1.719528606454038 0
680 -500 50 -1.750052518442021 0
690 -500 50 -1.780777731362689 0
700 -500 50 -1.811633909468228 0
710 -500 50 -1.842550614010322 0
720 -500 50 -1.873457571089169 0
730 -500 50 -1.904284937369368 0
740 -500 50 -1.934963562078476 0
750 -500 50 -1.965425243747394 0
760 -500 50 -1.995602980138678 0
770 -500 50 -2.025431209792397 0
780 -500 50 -2.054846043831275 0
790 -500 50 -2.083785486484127 0
800 -500 50 -2.112189643118874 0
810 -500 50 -2.140000914512541 0
820 -500 50 -2.167164176294695 0
830 -500 50 -2.193626942539194 0
840 -500 50 -2.219339512771985 0
850 -500 50 -2.244255101623516 0
860 -500 50 -2.268329950679325 0
870 -500 50 -2.291523422171071 0
880 -500 50 -2.313798074285334 0
890 -500 50 -2.335119718128407 0
900 -500 50 -2.355457456453468 0
910 -500 50 -2.374783704451107 0
920 -500 50 -2.393074193076957 0
930 -500 50 -2.410307955483732 0
940 -500 50 -2.426467297265781 0
950 -500 50 -2.441537751387065 0
960 -500 50 -2.455508018648249 0
970 -500 50 -2.468369894784505 0
980 -500 50 -2.480118185225924 0
990 -500 50 -2.490750608678319 0
1000 -500 50 -2.500267690684181 0
1010 -500 50 -2.508672648402833 0
1020 -500 50 -2.515971267753049 0
1030 -500 50 -2.522171774182872 0
1040 -500 50 -2.527284698217985 0
1050 -500 50 -2.531322736949695 0
1060 -500 50 -2.534300612592761 0
1070 -500 50 -2.536234929157618 0
1080 -500 50 -2.537144028262066 0
1090 -500 50 -2.537047845048571 0
1100 -500 50 -2.535967765047326 0
1110 -500 50 -2.533926482828144 0
1120 -500 50 -2.530947863167818 0
1130 -500 50 -2.527056805395612 0
1140 -500 50 -2.522279111489603 0
1150 -500 50 -2.516641358452034 0
1160 -500 50 -2.510170775400965 0
1170 -500 50 -2.502895125719093 0
1180 -500 50 -2.49484259460383 0
1190 -500 50 -2.486041682194982 0
1200 -500 50 -2.476521102519355 0
1210 -500 50 -2.466309688311261 0
1220 -500 50 -2.455436301797932 0
1230 -500 50 -2.443929751475005 0
1240 -500 50 -2.431818714830757 0
1250 -500 50 -2.419131666951388 0
1260 -500 50 -2.405896814921836 0
1270 -500 50 -2.392142037883547 0
1280 -500 50 -2.377894832577058 0
1290 -500 50 -2.363182264235672 0
1300 -500 50 -2.348030922578853 0
1310 -500 50 -2.332466882738885 0
1320 -500 50 -2.316515670867663 0
1330 -500 50 -2.300202234221159 0
1340 -500 50 -2.283550915447459 0
1350 -500 50 -2.266585430899231 0
1360 -500 50 -2.249328852638559 0
1370 -500 50 -2.231803594008828 0
1380 -500 50 -2.214031398412355 0
1390 -500 50 -2.196033331184058 0
1400 -500 50 -2.177829774213825 0
1410 -500 50 -2.159440423217641 0
1420 -500 50 -2.140884287317013 0
1430 -500 50 -2.122179690834222 0
1440 -500 50 -2.103344277041511 0
1450 -500 50 -2.084395013667999 0
1460 -500 50 -2.065348200042905 0
1470 -500 50 -2.046219475649775 0
1480 -500 50 -2.027023829952677 0
1490 -500 50 -2.007775613348569 0
1500 -500 50 -1.988488549094771 0
-500 -490 50 -1.472165816208437 0
-490 -490 50 -1.482978371627651 0
-480 -490 50 -1.493651199353631 0
-470 -490 50 -1.504172542118958 0
-460 -490 50 -1.514530274733185 0
-450 -490 50 -1.524711907328772 0
-440 -490 50 -1.53470459010046 0
-430 -490 50 -1.544495119718318 0
-420 -490 50 -1.554069947545962 0
-410 -490 50 -1.563415189742345 0
-400 -490 50 -1.572516639521375 0
-390 -490 50 -1.581359781595169 0
-380 -490 50 -1.589929809041254 0
-370 -490 50 -1.598211642703925 0
-360 -490 50 -1.606189953315385 0
-350 -490 50 -1.613849186505486 0
-340 -490 50 -1.621173590815709 0
-330 -490 50 -1.628147248936804 0
-320 -490 50 -1.634754112262694 0
-310 -490 50 -1.640978038983969 0
-300 -490 50 -1.646802835767653 0
-290 -490 50 -1.652212303255368 0
-280 -490 50 -1.657190285396965 0
-270 -490 50 -1.661720722833958 0
-260 -490 50 -1.665787710319537 0
-250 -490 50 -1.669375558311041 0
-240 -490 50 -1.672468858731103 0
-230 -490 50 -1.675052554954029 0
-220 -490 50 -1.677112015946957 0
-210 -490 50 -1.678633114604467 0
-200 -490 50 -1.679602310071928 0
-190 -490 50 -1.680006734026531 0
-180 -490 50 -1.679834280705019 0
-170 -490 50 -1.679073700448728 0
-160 -490 50 -1.677714696500249 0
-150 -490 50 -1.675748024724056 0
-140 -490 50 -1.673165595876187 0
-130 -490 50 -1.669960579930336 0
-120 -490 50 -1.666127512028819 0
-110 -490 50 -1.661662399413197 0
-100 -490 50 -1.656562828739004 0
-90 -490 50 -1.650828073087647 0
-80 -490 50 -1.644459197874261 0
-70 -490 50 -1.637459164884728 0
-60 -490 50 -1.629832933525095 0
-50 -490 50 -1.621587558397117 0
-40 -490 50 -1.612732282197636 0
-30 -490 50 -1.603278622926243 0
-20 -490 50 -1.593240454422912 0
-10 -490 50 -1.582634079097385 0
0 -490 50 -1.571478291815589 0
10 -490 50 -1.559794433885269 0
20 -490 50 -1.547606436050764 0
30 -490 50 -1.534940849511522 0
40 -490 50 -1.521826863946302 0
50 -490 50 -1.508296311619654 0
60 -490 50 -1.494383656755985 0
70 -490 50 -1.480125969368595 0
80 -490 50 -1.465562882900311 0
90 -490 50 -1.450736535170839 0
100 -490 50 -1.435691492140662 0
110 -490 50 -1.420474654332001 0
120 -490 50 -1.405135145693579 0
130 -490 50 -1.38972418503867 0
140 -490 50 -1.374294940243182 0
150 -490 50 -1.358902365613321 0
160 -490 50 -1.343603023011146 0
170 -490 50 -1.328454887454878 0
180 -490 50 -1.313517138161367 0
190 -490 50 -1.298849936088572 0
200 -490 50 -1.284514189209919 0
210 -490 50 -1.270571306932005 0
220 -490 50 -1.257082945161133 0
230 -490 50 -1.244110743576421 0
240 -490 50 -1.231716056904724 0
