# y(m)-easting x(m)-northing ele(m) obs-val(mGal|Eo) obs-dev(mGal|Eo)
-500 -500 50 1.474468585554554 0
-490 -500 50 1.52049880136072 0
-480 -500 50 1.567871523489178 0
-470 -500 50 1.616620626446751 0
-460 -500 50 1.666780363648229 0
-450 -500 50 1.718385327828694 0
-440 -500 50 1.771470406816154 0
-430 -500 50 1.826070734589168 0
-420 -500 50 1.88222163721625 0
-410 -500 50 1.939958573350524 0
-400 -500 50 1.999317069122678 0
-390 -500 50 2.060332646924504 0
-380 -500 50 2.123040747962002 0
-370 -500 50 2.18747664816861 0
-360 -500 50 2.253675367157553 0
-350 -500 50 2.321671570061826 0
-340 -500 50 2.391499461749995 0
-330 -500 50 2.463192673369801 0
-320 -500 50 2.536784140801148 0
-310 -500 50 2.612305974826918 0
-300 -500 50 2.689789322902518 0
-290 -500 50 2.769264222135839 0
-280 -500 50 2.85075944354816 0
-270 -500 50 2.934302327374478 0
-260 -500 50 3.019918609338406 0
-250 -500 50 3.10763223803354 0
-240 -500 50 3.197465183245591 0
-230 -500 50 3.289437235515595 0
-220 -500 50 3.383565797045989 0
-210 -500 50 3.479865664202304 0
-200 -500 50 3.57834880207999 0
-190 -500 50 3.679024111396994 0
-180 -500 50 3.781897188459793 0
-170 -500 50 3.886970078705368 0
-160 -500 50 3.99424102470127 0
-150 -500 50 4.103704209403467 0
-140 -500 50 4.215349495746658 0
-130 -500 50 4.32916216368803 0
-120 -500 50 4.445122645953037 0
-110 -500 50 4.563206263908266 0
-100 -500 50 4.683382965098263 0
-90 -500 50 4.805617064080104 0
-80 -500 50 4.929866988379789 0
-70 -500 50 5.056085031449721 0
-60 -500 50 5.184217114663926 0
-50 -500 50 5.31420256050208 0
-40 -500 50 5.44597387909046 0
-30 -500 50 5.579456570443222 0
-20 -500 50 5.714568944735888 0
-10 -500 50 5.851221963026491 0
0 -500 50 5.989319100817049 0
10 -500 50 6.12875623689148 0
20 -500 50 6.269421569778725 0
30 -500 50 6.411195564216134 0
40 -500 50 6.553950929769529 0
50 -500 50 6.697552633788622 0
60 -500 50 6.841857950622201 0
70 -500 50 6.986716548899964 0
80 -500 50 7.131970618420451 0
90 -500 50 7.277455037997643 0
100 -500 50 7.422997585300672 0
110 -500 50 7.568419189469625 0
120 -500 50 7.713534226905716 0
130 -500 50 7.858150860383193 0
140 -500 50 8.002071421176899 0
150 -500 50 8.145092833590539 0
160 -500 50 8.287007080911685 0
170 -500 50 8.427601711341614 0
180 -500 50 8.56666038222148 0
190 -500 50 8.703963440386483 0
200 -500 50 8.839288536181167 0
210 -500 50 8.972411268340544 0
220 -500 50 9.103105856658193 0
230 -500 50 9.231145838991635 0
240 -500 50 9.356304789060671 0
250 -500 50 9.478357051160566 0
260 -500 50 9.597078487811707 0
270 -500 50 9.712247236247018 0
280 -500 50 9.823644469524766 0
290 -500 50 9.93105515806216 0
300 -500 50 10.03426882735756 0
310 -500 50 10.13308030772936 0
320 -500 50 10.22729047201015 0
330 -500 50 10.31670695721714 0
340 -500 50 10.40114486640055 0
350 -500 50 10.48042744707352 0
360 -500 50 10.55438674278561 0
370 -500 50 10.6228642146823 0
380 -500 50 10.68571133008707 0
390 -500 50 10.74279011545151 0
400 -500 50 10.79397367117716 0
410 -500 50 10.83914664621583 0
420 -500 50 10.87820567042495 0
430 -500 50 10.91105974308222 0
440 -500 50 10.93763057607533 0
450 -500 50 10.95785289053266 0
460 -500 50 10.9716746659553 0
470 -500 50 10.97905734098981 0
480 -500 50 10.97997596526322 0
490 -500 50 10.97441930184128 0
500 -500 50 10.96238988006355 0
510 -500 50 10.94390399860479 0
520 -500 50 10.91899167888852 0
530 -500 50 10.88769656897486 0
540 -500 50 10.85007579833514 0
550 -500 50 10.80619978396722 0
560 -500 50 10.7561519885555 0
570 -500 50 10.70002863143851 0
580 -500 50 10.63793835341574 0
590 -500 50 10.57000183654231 0
600 -500 50 10.49635138027044 0
610 -500 50 10.41713043548678 0
620 -500 50 10.332493098229 0
630 -500 50 10.24260356504394 0
640 -500 50 10.14763555223085 0
650 -500 50 10.04777168139935 0
660 -500 50 9.943202833998395 0
670 -500 50 9.834127477780836 0
680 -500 50 9.720750968280219 0
690 -500 50 9.603284828675751 0
700 -500 50 9.481946011595237 0
710 -500 50 9.356956146566112 0
720 -500 50 9.228540777002152 0
730 -500 50 9.096928590750624 0
740 -500 50 8.962350648256807 0
750 -500 50 8.825039612537966 0
760 -500 50 8.685228985138014 0
770 -500 50 8.543152352200881 0
780 -500 50 8.399042644743664 0
790 -500 50 8.253131417148291 0
800 -500 50 8.10564814764329 0
810 -500 50 7.956819564456621 0
820 -500 50 7.806869001029368 0
830 -500 50 7.656015783449979 0
840 -500 50 7.504474652907319 0
850 -500 50 7.352455225758925 0
860 -500 50 7.200161493321649 0
870 -500 50 7.047791363207507 0
880 -500 50 6.895536243662827 0
890 -500 50 6.743580671913529 0
900 -500 50 6.592101987220233 0
910 -500 50 6.441270048871239 0
920 -500 50 6.291246999080725 0
930 -500 50 6.142187070295084 0
940 -500 50 5.994236436150814 0
950 -500 50 5.847533104984871 0
960 -500 50 5.702206854490915 0
970 -500 50 5.558379205890791 0
980 -500 50 5.416163435754421 0
990 -500 50 5.275664623368592 0
1000 -500 50 5.136979731427242 0
1010 -500 50 5.0001977176972 0
1020 -500 50 4.86539967515876 0
1030 -500 50 4.732658998094544 0
1040 -500 50 4.602041571580274 0
1050 -500 50 4.473605981751255 0
1060 -500 50 4.347403744313522 0
1070 -500 50 4.223479548769468 0
1080 -500 50 4.101871515896831 0
1090 -500 50 3.982611466081842 0
1100 -500 50 3.865725196282612 0
1110 -500 50 3.751232763382295 0
1120 -500 50 3.639148771954364 0
1130 -500 50 3.529482664482567 0
1140 -500 50 3.422239012288384 0
1150 -500 50 3.317417805514212 0
1160 -500 50 3.215014740696768 0
1170 -500 50 3.11502150456512 0
1180 -500 50 3.017426052879949 0
1190 -500 50 2.922212883247738 0
1200 -500 50 2.829363300979075 0
1210 -500 50 2.738855677215811 0
1220 -500 50 2.650665698634214 0
1230 -500 50 2.564766608193231 0
1240 -500 50 2.481129436462565 0
1250 -500 50 2.399723223233458 0
1260 -500 50 2.320515229116799 0
1270 -500 50 2.243471137006495 0
1280 -500 50 2.16855524333116 0
1290 -500 50 2.095730639064462 0
1300 -500 50 2.024959380577787 0
1310 -500 50 1.956202650432121 0
1320 -500 50 1.889420908285477 0
1330 -500 50 1.824574032106706 0
1340 -500 50 1.761621449961753 0
1350 -500 50 1.700522262619473 0
1360 -500 50 1.641235357291796 0
1370 -500 50 1.583719512836208 0
1380 -500 50 1.527933496726652 0
1390 -500 50 1.473836154163101 0
1400 -500 50 1.421386489673647 0
1410 -500 50 1.370543741548684 0
1420 -500 50 1.321267449492333 0
1430 -500 50 1.273517515826952 0
1440 -500 50 1.227254260616361 0
1450 -500 50 1.182438471070115 0
1460 -500 50 1.139031445539068 0
1470 -500 50 1.09699503247644 0
1480 -500 50 1.056291664659543 0
1490 -500 50 1.016884388990151 0
1500 -500 50 0.9787368922022297 0
-500 -490 50 1.480532327906183 0
-490 -490 50 1.5273190655109 0
-480 -490 50 1.575491080821638 0
-470 -490 50 1.625084235746264 0
-460 -490 50 1.676134844267153 0
-450 -490 50 1.728679633739121 0
-440 -490 50 1.782755701467806 0
-430 -490 50 1.838400466312207 0
-420 -490 50 1.8956516148683 0
-410 -490 50 1.954547042046733 0
-400 -490 50 2.015124785617 0
-390 -490 50 2.077422954399022 0
-380 -490 50 2.141479649779385 0
-370 -490 50 2.207332880178514 0
-360 -490 50 2.275020468136338 0
-350 -490 50 2.344579949709306 0
-340 -490 50 2.416048465770284 0
-330 -490 50 2.489462644990654 0
-320 -490 50 2.564858478090777 0
-310 -490 50 2.642271183181934 0
-300 -490 50 2.721735061840282 0
-290 -490 50 2.803283345755691 0
-280 -490 50 2.886948033698968 0
-270 -490 50 2.972759718686641 0
-260 -490 50 3.060747405228066 0
-250 -490 50 3.150938316597568 0
-240 -490 50 3.243357692109095 0
-230 -490 50 3.338028574549818 0
-220 -490 50 3.434971587821227 0
-210 -490 50 3.534204705120144 0
-200 -490 50 3.63574300791913 0
-190 -490 50 3.73959843623957 0
-180 -490 50 3.845779530716451 0
-170 -490 50 3.954291167142557 0
-160 -490 50 4.065134284244491 0
-150 -490 50 4.178305605652993 0
-140 -490 50 4.293797357067247 0
-130 -490 50 4.41159697984618 0
-120 -490 50 4.531686842354532 0
-110 -490 50 4.654043950532632 0
-100 -490 50 4.778639659361438 0
-90 -490 50 4.905439386990442 0
-80 -490 50 5.03440233344405 0
-70 -490 50 5.16548120602104 0
-60 -490 50 5.298621953551056 0
-50 -490 50 5.433763511850514 0
-40 -490 50 5.570837562830701 0
-30 -490 50 5.709768309773803 0
-20 -490 50 5.850472271379356 0
-10 -490 50 5.992858097284254 0
0 -490 50 6.13682640769839 0
10 -490 50 6.282269659899306 0
20 -490 50 6.429072044256499 0
30 -490 50 6.577109412360183 0
40 -490 50 6.726249239857154 0
50 -490 50 6.876350626339107 0
60 -490 50 7.027264334572041 0
70 -490 50 7.178832871065254 0
80 -490 50 7.330890609879797 0
90 -490 50 7.483263961162206 0
100 -490 50 7.635771585679853 0
110 -490 50 7.788224656310433 0
120 -490 50 7.940427167016096 0
130 -490 50 8.092176289510547 0
140 -490 50 8.243262777427374 0
150 -490 50 8.393471417311277 0
160 -490 50 8.542581525428208 0
170 -490 50 8.690367488907851 0
180 -490 50 8.836599349308065 0
190 -490 50 8.98104342628185 0
200 -490 50 9.123462978677606 0
210 -490 50 9.263618899938283 0
220 -490 50 9.401270444409727 0
230 -490 50 9.536175980803572 0
240 -490 50 9.668093768793856 0
250 -490 50 9.796782754528962 0
260 -490 50 9.922003380601161 0
270 -490 50 10.04351840594308 0
280 -490 50 10.16109373099261 0
290 -490 50 10.27449922344092 0
300 -490 50 10.38350953989744 0
310 -490 50 10.48790493889055 0
320 -490 50 10.58747208066219 0
330 -490 50 10.68200480945027 0
340 -490 50 10.77130491404692 0
350 -490 50 10.85518286272198 0
360 -490 50 10.9334585087665 0
370 -490 50 11.00596176322392 0
380 -490 50 11.07253323162732 0
390 -490 50 11.13302481186329 0
400 -490 50 11.18730025056371 0
410 -490 50 11.23523565570651 0
420 -490 50 11.27671996340503 0
430 -490 50 11.31165535714041 0
440 -490 50 11.33995763793848 0
450 -490 50 11.36155654422681 0
460 -490 50 11.37639602039932 0
470 -490 50 11.38443443324512 0
480 -490 50 11.3856447356692 0
490 -490 50 11.38001457725766 0
500 -490 50 11.36754636148809 0
510 -490 50 11.3482572494352 0
520 -490 50 11.32217911009794 0
530 -490 50 11.28935841752247 0
540 -490 50 11.2498560951207 0
550 -490 50 11.20374730764476 0
560 -490 50 11.15112120155321 0
570 -490 50 11.09208059454857 0
580 -490 50 11.0267416153271 0
590 -490 50 10.95523329470556 0
600 -490 50 10.87769710956001 0
610 -490 50 10.79428648114483 0
620 -490 50 10.70516622967757 0
630 -490 50 10.6105119872335 0
640 -490 50 10.51050957130966 0
650 -490 50 10.40535432163994 0
660 -490 50 10.29525040313307 0
670 -490 50 10.18041007804228 0
680 -490 50 10.06105295074113 0
690 -490 50 9.937405188775658 0
700 -490 50 9.809698723977945 0
710 -490 50 9.678170437790399 0
720 -490 50 9.543061334994716 0
730 -490 50 9.404615710280003 0
740 -490 50 9.263080312143936 0
750 -490 50 9.1187035087488 0
760 -490 50 8.971734460322436 0
770 -490 50 8.822422302709118 0
780 -490 50 8.67101534660803 0
790 -490 50 8.517760296925934 0
800 -490 50 8.362901496452231 0
810 -490 50 8.20668019794193 0
820 -490 50 8.049333868361984 0
830 -490 50 7.891095528762926 0
840 -490 50 7.732193132971561 0
850 -490 50 7.572848987822956 0
860 -490 50 7.41327921736376 0
870 -490 50 7.253693272962701 0
880 -490 50 7.094293490905032 0
890 -490 50 6.935274698541503 0
900 -490 50 6.776823869705067 0
910 -490 50 6.619119829618891 0
920 -490 50 6.462333009134667 0
930 -490 50 6.306625247729672 0
940 -490 50 6.152149644307007 0
950 -490 50 5.999050454537143 0
960 -490 50 5.847463033072901 0
970 -490 50 5.697513818783579 0
980 -490 50 5.549320360821704 0
990 -490 50 5.402991383191479 0
1000 -490 50 5.258626885215759 0
1010 -490 50 5.116318275313739 0
1020 -490 50 4.976148535201713 0
1030 -490 50 4.838192411752198 0
1040 -490 50 4.702516633586245 0
1050 -490 50 4.569180149532964 0
1060 -490 50 4.438234386102912 0
1070 -490 50 4.309723521182965 0
1080 -490 50 4.183684771225864 0
1090 -490 50 4.060148689355502 0
1100 -490 50 3.939139471822914 0
1110 -490 50 3.82067527053639 0
1120 -490 50 3.704768509362383 0
1130 -490 50 3.59142620219966 0
1140 -490 50 3.480650270853169 0
1150 -490 50 3.372437861028808 0
1160 -490 50 3.2667816548067 0
1170 -490 50 3.163670178203676 0
1180 -490 50 3.063088102585919 0
1190 -490 50 2.965016538767818 0
1200 -490 50 2.86943332291766 0
1210 -490 50 2.776313293397006 0
1220 -490 50 2.685628557924115 0
1230 -490 50 2.597348750458862 0
1240 -490 50 2.511441277444795 0
1250 -490 50 2.42787155304792 0
1260 -490 50 2.346603223215474 0
1270 -490 50 2.267598378433112 0
1280 -490 50 2.190817755125428 0
1290 -490 50 2.116220925793013 0
1300 -490 50 2.043766477928927 0
1310 -490 50 1.9734121819541 0
1320 -490 50 1.90511514832472 0
1330 -490 50 1.83883197412895 0
1340 -490 50 1.774518879445068 0
1350 -490 50 1.712131833776657 0
1360 -490 50 1.651626672956712 0
1370 -490 50 1.592959206867734 0
1380 -490 50 1.536085318350607 0
1390 -490 50 1.480961053751122 0
1400 -490 50 1.427542705436967 0
1410 -490 50 1.375786886752824 0
1420 -490 50 1.325650599755571 0
1430 -490 50 1.277091296196824 0
1440 -490 50 1.230066932091006 0
1450 -490 50 1.184536016274649 0
1460 -490 50 1.140457653343167 0
1470 -490 50 1.097791581308982 0
1480 -490 50 1.056498204364414 0
1490 -490 50 1.016538621055747 0
1500 -490 50 0.9778746482225512 0
-500 -480 50 1.486159638269215 0
-490 -480 50 1.533703075531914 0
-480 -480 50 1.582675478887763 0
-470 -480 50 1.633114784203404 0
-460 -480 50 1.685059458464903 0
-450 -480 50 1.738548462289943 0
-440 -480 50 1.793621207614098 0
-430 -480 50 1.850317510088525 0
-420 -480 50 1.908677535890824 0
-410 -480 50 1.968741742617293 0
-400 -480 50 2.030550813804803 0
-390 -480 50 2.094145586830491 0
-380 -480 50 2.159566973651256 0
-370 -480 50 2.226855874123745 0
-360 -480 50 2.296053081447202 0
-350 -480 50 2.367199179362226 0
-340 -480 50 2.440334430759326 0
-330 -480 50 2.515498657265224 0
-320 -480 50 2.592731109456039 0
-310 -480 50 2.672070327427843 0
-300 -480 50 2.75355399130628 0
-290 -480 50 2.837218761506477 0
-280 -480 50 2.923100108395871 0
-270 -480 50 3.011232131196319 0
-260 -480 50 3.101647365984916 0
-250 -480 50 3.19437658260289 0
-240 -480 50 3.289448570536459 0
-230 -480 50 3.386889913708707 0
-220 -480 50 3.486724754317868 0
-210 -480 50 3.588974545971762 0
-200 -480 50 3.693657796339627 0
-190 -480 50 3.800789799789781 0
-180 -480 50 3.910382360527537 0
-170 -480 50 4.022443506863802 0
-160 -480 50 4.136977197451893 0
-150 -480 50 4.253983020380326 0
-140 -480 50 4.373455886256955 0
-130 -480 50 4.495385716481455 0
-120 -480 50 4.619757128161494 0
-110 -480 50 4.746549117220353 0
-100 -480 50 4.875734741450757 0
-90 -480 50 5.007280805427484 0
-80 -480 50 5.141147549369045 0
-70 -480 50 5.277288344185958 0
-60 -480 50 5.415649395104751 0
-50 -480 50 5.5561694564474 0
-40 -480 50 5.698779560217685 0
-30 -480 50 5.843402761263857 0
-20 -480 50 5.989953901974418 0
-10 -480 50 6.138339399408261 0
0 -480 50 6.288457057879729 0
10 -480 50 6.440195910045772 0
20 -480 50 6.593436089469237 0
30 -480 50 6.748048737649086 0
40 -480 50 6.903895948362899 0
50 -480 50 7.060830752065476 0
60 -480 50 7.218697142929611 0
70 -480 50 7.377330150870047 0
80 -480 50 7.536555960689204 0
90 -480 50 7.696192080137362 0
