# y(m)-easting x(m)-northing ele(m) obs-val(mGal|Eo) obs-dev(mGal|Eo)
-500 -500 50 2.368628111900874 0
-490 -500 50 2.404585755068442 0
-480 -500 50 2.440871070051164 0
-470 -500 50 2.477470219876283 0
-460 -500 50 2.514368068518731 0
-450 -500 50 2.551548114871364 0
-440 -500 50 2.588992425045138 0
-430 -500 50 2.626681563037932 0
-420 -500 50 2.664594519982741 0
-410 -500 50 2.702708642049487 0
-400 -500 50 2.740999557242763 0
-390 -500 50 2.779441101265935 0
-380 -500 50 2.818005242701077 0
-370 -500 50 2.856662007817087 0
-360 -500 50 2.895379405177177 0
-350 -500 50 2.934123350581244 0
-340 -500 50 2.972857592526451 0
-330 -500 50 3.011543638738507 0
-320 -500 50 3.050140684128546 0
-310 -500 50 3.088605540779987 0
-300 -500 50 3.126892570370183 0
-290 -500 50 3.164953619767739 0
-280 -500 50 3.202737960301584 0
-270 -500 50 3.240192231452423 0
-260 -500 50 3.277260389669158 0
-250 -500 50 3.313883663084832 0
-240 -500 50 3.350000512917414 0
-230 -500 50 3.385546602441039 0
-220 -500 50 3.420454774381421 0
-210 -500 50 3.454655037679843 0
-200 -500 50 3.488074564611523 0
-190 -500 50 3.520637699144134 0
-180 -500 50 3.552265977674334 0
-170 -500 50 3.582878163022202 0
-160 -500 50 3.612390292808927 0
-150 -500 50 3.640715743149152 0
-140 -500 50 3.667765308724622 0
-130 -500 50 3.693447300130399 0
-120 -500 50 3.717667659527541 0
-110 -500 50 3.740330095375003 0
-100 -500 50 3.761336237128212 0
-90 -500 50 3.780585810585219 0
-80 -500 50 3.79797683455027 0
-70 -500 50 3.813405839293385 0
-60 -500 50 3.826768107217295 0
-50 -500 50 3.837957935966305 0
-40 -500 50 3.84686892402674 0
-30 -500 50 3.853394278757961 0
-20 -500 50 3.857427146501461 0
-10 -500 50 3.858860964307787 0
0 -500 50 3.85758983253851 0
10 -500 50 3.853508907351663 0
20 -500 50 3.846514811936106 0
30 -500 50 3.836506065012144 0
40 -500 50 3.823383524920335 0
50 -500 50 3.807050847398028 0
60 -500 50 3.787414954831344 0
70 -500 50 3.764386514639567 0
80 -500 50 3.737880424106178 0
90 -500 50 3.707816298918412 0
100 -500 50 3.674118962330923 0
110 -500 50 3.636718931862745 0
120 -500 50 3.595552900196439 0
130 -500 50 3.550564206882628 0
140 -500 50 3.501703297454489 0
150 -500 50 3.448928166378636 0
160 -500 50 3.392204780449183 0
170 -500 50 3.331507479131194 0
180 -500 50 3.266819348575534 0
190 -500 50 3.198132566036219 0
200 -500 50 3.12544871171741 0
210 -500 50 3.04877904511065 0
220 -500 50 2.968144743346982 0
230 -500 50 2.883577099144121 0
240 -500 50 2.795117676322836 0
250 -500 50 2.702818421247217 0
260 -500 50 2.606741728733581 0
270 -500 50 2.50696046145675 0
280 -500 50 2.403557922173952 0
290 -500 50 2.29662777847429 0
300 -500 50 2.186273940053864 0
310 -500 50 2.072610389021887 0
320 -500 50 1.955760963834988 0
330 -500 50 1.83585909804432 0
340 -500 50 1.713047515080364 0
350 -500 50 1.587477880778731 0
360 -500 50 1.459310415430252 0
370 -500 50 1.328713467491927 0
380 -500 50 1.195863051118726 0
390 -500 50 1.060942350018976 0
400 -500 50 0.9241411900660875 0
