# y(m)-easting x(m)-northing ele(m) obs-val(mGal|Eo) obs-dev(mGal|Eo)
-500 -500 50 -0.002429449910627389 0
-490 -500 50 -0.002460864082162284 0
-480 -500 50 -0.002491949305624546 0
-470 -500 50 -0.002522648807181794 0
-460 -500 50 -0.002552902666245475 0
-450 -500 50 -0.002582647732460875 0
-440 -500 50 -0.002611817548212922 0
-430 -500 50 -0.002640342277729012 0
-420 -500 50 -0.002668148643940654 0
-410 -500 50 -0.002695159874371455 0
-400 -500 50 -0.002721295657403901 0
-390 -500 50 -0.002746472110380772 0
-380 -500 50 -0.002770601761088809 0
-370 -500 50 -0.00279359354427171 0
-360 -500 50 -0.00281535281490833 0
-350 -500 50 -0.002835781380083308 0
-340 -500 50 -0.002854777551361122 0
-330 -500 50 -0.002872236219646448 0
-320 -500 50 -0.002888048954586581 0
-310 -500 50 -0.002902104130616506 0
-300 -500 50 -0.002914287081797831 0
-290 -500 50 -0.002924480287616964 0
-280 -500 50 -0.002932563591912582 0
-270 -500 50 -0.002938414457087078 0
-260 -500 50 -0.002941908255698238 0
-250 -500 50 -0.002942918601466849 0
-240 -500 50 -0.002941317721612612 0
-230 -500 50 -0.002936976872289661 0
-220 -500 50 -0.002929766798713059 0
-210 -500 50 -0.002919558241327699 0
-200 -500 50 -0.002906222489113137 0
-190 -500 50 -0.002889631980781684 0
-180 -500 50 -0.002869660954260717 0
-170 -500 50 -0.002846186144432025 0
-160 -500 50 -0.002819087528611333 0
-150 -500 50 -0.00278824911873592 0
-140 -500 50 -0.002753559798642546 0
-130 -500 50 -0.002714914204176789 0
-120 -500 50 -0.002672213643221448 0
-110 -500 50 -0.002625367051986034 0
-100 -500 50 -0.002574291983170008 0
-90 -500 50 -0.002518915620812185 0
-80 -500 50 -0.0024591758158452 0
-70 -500 50 -0.002395022135566899 0
-60 -500 50 -0.002326416919428341 0
-50 -500 50 -0.002253336332759771 0
-40 -500 50 -0.002175771409298117 0
-30 -500 50 -0.00209372907267216 0
-20 -500 50 -0.002007233126375059 0
-10 -500 50 -0.001916325201197708 0
0 -500 50 -0.001821065648642384 0
10 -500 50 -0.001721534368534736 0
20 -500 50 -0.001617831558826583 0
30 -500 50 -0.001510078375598413 0
40 -500 50 -0.001398417491373527 0
50 -500 50 -0.001283013540200079 0
60 -500 50 -0.001164053438468061 0
