# y(m)-easting x(m)-northing ele(m) obs-val(mGal|Eo) obs-dev(mGal|Eo)
-500 -500 50 -0.001055703359867406 0
-490 -500 50 -0.001042605692899926 0
-480 -500 50 -0.00102840718811217 0
-470 -500 50 -0.001013074158976206 0
-460 -500 50 -0.0009965732625706384 0
-450 -500 50 -0.0009788716404579409 0
-440 -500 50 -0.0009599370715278537 0
-430 -500 50 -0.0009397381372570033 0
-420 -500 50 -0.0009182443998286467 0
-410 -500 50 -0.0008954265935106185 0
-400 -500 50 -0.000871256829620861 0
-390 -500 50 -0.0008457088153783719 0
-380 -500 50 -0.0008187580868308003 0
-370 -500 50 -0.0007903822559858835 0
-360 -500 50 -0.0007605612721656228 0
-350 -500 50 -0.0007292776974883151 0
-340 -500 50 -0.0006965169962523261 0
-330 -500 50 -0.0006622678378577863 0
-320 -500 50 -0.0006265224127263492 0
-310 -500 50 -0.0005892767605174553 0
-300 -500 50 -0.000550531109731945 0
-290 -500 50 -0.0005102902275772351 0
-280 -500 50 -0.000468563778756192 0
-270 -500 50 -0.0004253666915685292 0
-260 -500 50 -0.0003807195294812994 0
-250 -500 50 -0.00033464886601433 0
-240 -500 50 -0.0002871876605260657 0
-230 -500 50 -0.0002383756321754387 0
-220 -500 50 -0.0001882596290128159 0
-210 -500 50 -0.0001368939888700505 0
-200 -500 50 -8.434088838371256e-05 0
-190 -500 50 -3.06706761839493e-05 0
-180 -500 50 2.403781400472136e-05 0
-170 -500 50 7.969697490815093e-05 0
-160 -500 50 0.0001362101666928718 0
-150 -500 50 0.000193471492447227 0
-140 -500 50 0.000251365613387726 0
-130 -500 50 0.0003097676091802918 0
-120 -500 50 0.0003685428888604549 0
-110 -500 50 0.0004275471578895986 0
-100 -500 50 0.0004866264468291741 0
-90 -500 50 0.0005456172070369051 0
-80 -500 50 0.0006043464785702501 0
-70 -500 50 0.0006626321352086412 0
-60 -500 50 0.0007202832111303949 0
-50 -500 50 0.0007771003132718658 0
-40 -500 50 0.0008328761228303572 0
-30 -500 50 0.0008873959886393623 0
-20 -500 50 0.0009404386143733114 0
-10 -500 50 0.0009917768405905212 0
0 -500 50 0.001041178521624802 0
10 -500 50 0.001088407496245799 0
20 -500 50 0.001133224649795287 0
30 -500 50 0.001175389064285709 0
40 -500 50 0.001214659251636862 0
50 -500 50 0.001250794463887251 0
60 -500 50 0.001283556072924996 0
70 -500 50 0.001312709010915774 0
80 -500 50 0.001338023261375368 0
90 -500 50 0.001359275389619791 0
100 -500 50 0.001376250100220557 0
110 -500 50 0.001388741808146067 0
120 -500 50 0.001396556209427201 0
130 -500 50 0.00139951183654511 0
140 -500 50 0.001397441583353058 0
150 -500 50 0.001390194184053828 0
160 -500 50 0.001377635630826434 0
170 -500 50 0.001359650514964124 0
180 -500 50 0.001336143276820792 0
190 -500 50 0.001307039350749138 0
200 -500 50 0.001272286192074105 0
210 -500 50 0.001231854174436418 0
220 -500 50 0.001185737347274556 0
230 -500 50 0.001133954044709248 0
240 -500 50 0.001076547339000958 0
250 -500 50 0.001013585333370523 0
260 -500 50 0.0009451612911097695 0
270 -500 50 0.0008713935997284876 0
280 -500 50 0.0007924255707897192 0
290 -500 50 0.0007084250780869575 0
300 -500 50 0.000619584038449393 0
310 -500 50 0.0005261177411778429 0
