# y(m)-easting x(m)-northing ele(m) obs-val(mGal|Eo) obs-dev(mGal|Eo)
-500 -500 50 -0.005172593708273726 0
-490 -500 50 -0.005300381171130893 0
-480 -500 50 -0.005431364825336875 0
-470 -500 50 -0.005565610615962215 0
-460 -500 50 -0.005703184531687287 0
-450 -500 50 -0.005844152486000074 0
-440 -500 50 -0.005988580188935306 0
-430 -500 50 -0.006136533008957235 0
-420 -500 50 -0.006288075824594071 0
-410 -500 50 -0.006443272865447122 0
-400 -500 50 -0.006602187542206995 0
-390 -500 50 -0.00676488226534483 0
-380 -500 50 -0.006931418252139752 0
-370 -500 50 -0.007101855321765719 0
-360 -500 50 -0.007276251678169839 0
-350 -500 50 -0.007454663680526266 0
-340 -500 50 -0.007637145601089367 0
-330 -500 50 -0.007823749370322437 0
-320 -500 50 -0.008014524309235547 0
-310 -500 50 -0.008209516848931935 0
-300 -500 50 -0.008408770237431439 0
-290 -500 50 -0.008612324233913015 0
-280 -500 50 -0.008820214790622564 0
-270 -500 50 -0.009032473722750008 0
-260 -500 50 -0.009249128366725569 0
-250 -500 50 -0.009470201227448198 0
-240 -500 50 -0.009695709615091487 0
-230 -500 50 -0.009925665272268321 0
-220 -500 50 -0.01016007399242656 0
-210 -500 50 -0.01039893523050795 0
-200 -500 50 -0.01064224170701662 0
-190 -500 50 -0.01088997900681708 0
-180 -500 50 -0.0111421251740698 0
-170 -500 50 -0.01139865030490021 0
-160 -500 50 -0.01165951613955543 0
-150 -500 50 -0.01192467565585136 0
-140 -500 50 -0.01219407266600263 0
-130 -500 50 -0.01246764141891212 0
-120 -500 50 -0.01274530621023209 0
-110 -500 50 -0.01302698100260746 0
-100 -500 50 -0.01331256905855584 0
-90 -500 50 -0.0136019625886756 0
-80 -500 50 -0.01389504241782785 0
-70 -500 50 -0.01419167767206965 0
-60 -500 50 -0.01449172548921026 0
-50 -500 50 -0.01479503075579498 0
-40 -500 50 -0.01510142587346425 0
-30 -500 50 -0.01541073055751294 0
-20 -500 50 -0.0157227516705348 0
-10 -500 50 -0.016037283093943 0
0 -500 50 -0.0163541056400723 0
10 -500 50 -0.01667298700753164 0
20 -500 50 -0.01699368178224444 0
30 -500 50 -0.01731593148656368 0
40 -500 50 -0.01763946467863453 0
50 -500 50 -0.01796399710392868 0
60 -500 50 -0.01828923190076634 0
70 -500 50 -0.01861485986127792 0
80 -500 50 -0.0189405597490486 0
90 -500 50 -0.01926599867445706 0
100 -500 50 -0.01959083252827221 0
110 -500 50 -0.01991470647395225 0
120 -500 50 -0.02023725549859102 0
130 -500 50 -0.02055810502221345 0
140 -500 50 -0.02087687156478666 0
150 -500 50 -0.0211931634698543 0
160 -500 50 -0.02150658168352062 0
170 -500 50 -0.02181672058698197 0
180 -500 50 -0.02212316888055465 0
190 -500 50 -0.02242551051679389 0
200 -500 50 -0.02272332567985999 0
210 -500 50 -0.02301619180810196 0
220 -500 50 -0.02330368465635744 0
230 -500 50 -0.0235853793942413 0
240 -500 50 -0.02386085173638432 0
250 -500 50 -0.02412967910024493 0
260 -500 50 -0.02439144178695378 0
270 -500 50 -0.02464572418033103 0
280 -500 50 -0.02489211595901186 0
290 -500 50 -0.02513021331650738 0
300 -500 50 -0.02535962018372858 0
310 -500 50 -0.02557994944851025 0
320 -500 50 -0.02579082416653928 0
330 -500 50 -0.02599187875794126 0
340 -500 50 -0.02618276018393577 0
350 -500 50 -0.02636312909781006 0
360 -500 50 -0.02653266096462857 0
370 -500 50 -0.02669104714418606 0
380 -500 50 -0.02683799593173176 0
390 -500 50 -0.02697323355135079 0
400 -500 50 -0.02709650509693654 0
410 -500 50 -0.0272075754159665 0
420 -500 50 -0.02730622993169023 0
430 -500 50 -0.02739227539944443 0
440 -500 50 -0.02746554059334636 0
450 -500 50 -0.0275258769198511 0
460 -500 50 -0.02757315895505907 0
470 -500 50 -0.02760728490318022 0
480 -500 50 -0.02762817697378142 0
490 -500 50 -0.0276357816760734 0
500 -500 50 -0.02763007002880318 0
510 -500 50 -0.02761103768477385 0
520 -500 50 -0.02757870496958216 0
530 -500 50 -0.02753311683437474 0
540 -500 50 -0.02747434272309669 0
550 -500 50 -0.02740247635498744 0
560 -500 50 -0.02731763542348866 0
570 -500 50 -0.02721996121327555 0
580 -500 50 -0.02710961813728994 0
590 -500 50 -0.02698679319620519 0
600 -500 50 -0.02685169536303362 0
610 -500 50 -0.02670455489585036 0
620 -500 50 -0.02654562258207291 0
630 -500 50 -0.02637516891784895 0
640 -500 50 -0.0261934832264732 0
650 -500 50 -0.02600087272000466 0
660 -500 50 -0.02579766150837483 0
670 -500 50 -0.0255841895606058 0
680 -500 50 -0.02536081162283582 0
690 -500 50 -0.02512789609800778 0
700 -500 50 -0.02488582389230982 0
710 -500 50 -0.02463498723338527 0
720 -500 50 -0.02437578846561494 0
730 -500 50 -0.02410863882766754 0
740 -500 50 -0.02383395721763868 0
750 -500 50 -0.02355216895115832 0
760 -500 50 -0.02326370451769056 0
770 -500 50 -0.02296899834039497 0
780 -500 50 -0.02266848754474354 0
790 -500 50 -0.0223626107410074 0
800 -500 50 -0.02205180682573538 0
810 -500 50 -0.02173651380704086 0
820 -500 50 -0.02141716765847544 0
830 -500 50 -0.02109420120607164 0
840 -500 50 -0.02076804305276715 0
850 -500 50 -0.02043911654445511 0
860 -500 50 -0.02010783878131295 0
870 -500 50 -0.01977461967801124 0
880 -500 50 -0.01943986107599163 0
890 -500 50 -0.01910395591054814 0
900 -500 50 -0.01876728743533493 0
910 -500 50 -0.01843022850627812 0
920 -500 50 -0.01809314092663321 0
