# y(m)-easting x(m)-northing ele(m) obs-val(mGal|Eo) obs-dev(mGal|Eo)
-500 -500 50 -2.218742391740902 0
-490 -500 50 -2.248679947986171 0
-480 -500 50 -2.278974213007581 0
-470 -500 50 -2.309624559910815 0
-460 -500 50 -2.340630058746653 0
-450 -500 50 -2.371989462520249 0
-440 -500 50 -2.403701193044947 0
-430 -500 50 -2.435763326651318 0
-420 -500 50 -2.468173579814974 0
-410 -500 50 -2.500929294725626 0
-400 -500 50 -2.534027424857351 0
-390 -500 50 -2.567464520578585 0
-380 -500 50 -2.601236714864053 0
-370 -500 50 -2.635339709164957 0
-360 -500 50 -2.669768759495255 0
-350 -500 50 -2.704518662801647 0
-340 -500 50 -2.73958374369474 0
-330 -500 50 -2.774957841604896 0
-320 -500 50 -2.810634298446862 0
-310 -500 50 -2.846605946867415 0
-300 -500 50 -2.882865099174875 0
-290 -500 50 -2.919403537013761 0
-280 -500 50 -2.956212501896901 0
-270 -500 50 -2.993282686671374 0
-260 -500 50 -3.030604228014459 0
-250 -500 50 -3.068166700049527 0
-240 -500 50 -3.105959109181374 0
-230 -500 50 -3.143969890227948 0
-220 -500 50 -3.18218690395435 0
-210 -500 50 -3.220597436070989 0
-200 -500 50 -3.259188197810281 0
-190 -500 50 -3.297945328124707 0
-180 -500 50 -3.336854397592098 0
-170 -500 50 -3.375900414093245 0
-160 -500 50 -3.41506783030214 0
-150 -500 50 -3.454340553046774 0
-140 -500 50 -3.493701954554058 0
-130 -500 50 -3.53313488561278 0
-120 -500 50 -3.572621690650879 0
-110 -500 50 -3.612144224719104 0
-100 -500 50 -3.651683872352845 0
-90 -500 50 -3.691221568279398 0
-80 -500 50 -3.730737819888073 0
-70 -500 50 -3.77021273141678 0
-60 -500 50 -3.809626029735048 0
-50 -500 50 -3.848957091612824 0
-40 -500 50 -3.888184972367857 0
-30 -500 50 -3.927288435705664 0
-20 -500 50 -3.966245984629271 0
-10 -500 50 -4.005035893207072 0
0 -500 50 -4.043636239033964 0
10 -500 50 -4.082024936173051 0
20 -500 50 -4.120179768367261 0
30 -500 50 -4.158078422305718 0
40 -500 50 -4.195698520743091 0
50 -500 50 -4.233017655228441 0
60 -500 50 -4.270013418248371 0
70 -500 50 -4.306663434572218 0
80 -500 50 -4.342945391586968 0
90 -500 50 -4.37883706848456 0
100 -500 50 -4.414316364071017 0
110 -500 50 -4.449361323101965 0
120 -500 50 -4.483950161021435 0
130 -500 50 -4.518061286944177 0
140 -500 50 -4.551673324922578 0
150 -500 50 -4.584765133355721 0
160 -500 50 -4.617315822576654 0
170 -500 50 -4.649304770664845 0
180 -500 50 -4.680711637460582 0
190 -500 50 -4.711516376957698 0
200 -500 50 -4.741699248100505 0
210 -500 50 -4.771240824172976 0
220 -500 50 -4.800122000922488 0
230 -500 50 -4.828324003566822 0
240 -500 50 -4.855828392946155 0
250 -500 50 -4.882617070940993 0
260 -500 50 -4.908672285423338 0
270 -500 50 -4.933976634946537 0
280 -500 50 -4.958513073332816 0
290 -500 50 -4.982264914459337 0
300 -500 50 -5.005215837315352 0
310 -500 50 -5.027349891600487 0
320 -500 50 -5.048651503981258 0
330 -500 50 -5.069105485108822 0
340 -500 50 -5.088697037593424 0
350 -500 50 -5.107411764910462 0
360 -500 50 -5.125235681380666 0
370 -500 50 -5.142155223215663 0
380 -500 50 -5.158157260611858 0
390 -500 50 -5.17322911092649 0
400 -500 50 -5.187358552820271 0
410 -500 50 -5.200533841342987 0
420 -500 50 -5.212743723880618 0
430 -500 50 -5.223977456798228 0
440 -500 50 -5.234224822753627 0
450 -500 50 -5.243476148498507 0
460 -500 50 -5.251722323050774 0
470 -500 50 -5.25895481614892 0
480 -500 50 -5.265165696790964 0
490 -500 50 -5.270347651841545 0
500 -500 50 -5.274494004494661 0
510 -500 50 -5.277598732563497 0
520 -500 50 -5.279656486492558 0
530 -500 50 -5.280662606975536 0
540 -500 50 -5.280613142199821 0
550 -500 50 -5.27950486457899 0
560 -500 50 -5.277335286988999 0
570 -500 50 -5.274102678471332 0
580 -500 50 -5.26980607935965 0
590 -500 50 -5.264445315830518 0
600 -500 50 -5.258021013867803 0
610 -500 50 -5.250534612618114 0
620 -500 50 -5.241988377112523 0
630 -500 50 -5.23238541035431 0
640 -500 50 -5.221729664711483 0
650 -500 50 -5.210025952590692 0
660 -500 50 -5.197279956332251 0
670 -500 50 -5.183498237238787 0
680 -500 50 -5.168688243662108 0
690 -500 50 -5.152858318052393 0
700 -500 50 -5.136017702815844 0
710 -500 50 -5.118176544884021 0
720 -500 50 -5.099345898814324 0
730 -500 50 -5.079537728273297 0
740 -500 50 -5.058764905735229 0
750 -500 50 -5.037041210216625 0
760 -500 50 -5.014381322865119 0
770 -500 50 -4.990800820248107 0
780 -500 50 -4.966316165147066 0
790 -500 50 -4.940944694725422 0
800 -500 50 -4.91470460592621 0
810 -500 50 -4.887614937962866 0
820 -500 50 -4.859695551832226 0
830 -500 50 -4.830967106766478 0
840 -500 50 -4.801451033571146 0
850 -500 50 -4.771169504878918 0
860 -500 50 -4.740145402301995 0
870 -500 50 -4.708402280575638 0
880 -500 50 -4.675964328772922 0
890 -500 50 -4.642856328726164 0
900 -500 50 -4.609103610809448 0
910 -500 50 -4.574732007295649 0
920 -500 50 -4.539767803483151 0
930 -500 50 -4.504237686869999 0
940 -500 50 -4.468168694630966 0
950 -500 50 -4.431588159683999 0
960 -500 50 -4.394523655670325 0
970 -500 50 -4.357002941142249 0
980 -500 50 -4.319053903297613 0
990 -500 50 -4.280704501579248 0
1000 -500 50 -4.241982711450309 0
1010 -500 50 -4.202916468691409 0
1020 -500 50 -4.163533614485988 0
1030 -500 50 -4.123861841629335 0
1040 -500 50 -4.083928642098895 0
1050 -500 50 -4.043761256275277 0
1060 -500 50 -4.003386624040965 0
1070 -500 50 -3.962831337959391 0
1080 -500 50 -3.922121598745988 0
1090 -500 50 -3.881283173190573 0
1100 -500 50 -3.840341354657446 0
1110 -500 50 -3.799320926295673 0
1120 -500 50 -3.758246127045855 0
1130 -500 50 -3.717140620500068 0
1140 -500 50 -3.67602746665828 0
1150 -500 50 -3.634929096607514 0
1160 -500 50 -3.593867290105044 0
1170 -500 50 -3.552863156053737 0
1180 -500 50 -3.511937115827958 0
1190 -500 50 -3.471108889367661 0
1200 -500 50 -3.430397484003721 0
1210 -500 50 -3.389821185887687 0
1220 -500 50 -3.349397553955864 0
1230 -500 50 -3.309143416304302 0
1240 -500 50 -3.26907486885249 0
1250 -500 50 -3.229207276188129 0
1260 -500 50 -3.189555274445142 0
1270 -500 50 -3.150132776097176 0
1280 -500 50 -3.110952976527877 0
1290 -500 50 -3.072028362230588 0
1300 -500 50 -3.033370720527202 0
1310 -500 50 -2.994991150648329 0
1320 -500 50 -2.956900076052664 0
1330 -500 50 -2.919107257861814 0
1340 -500 50 -2.881621809282888 0
1350 -500 50 -2.844452210889286 0
1360 -500 50 -2.80760632665547 0
1370 -500 50 -2.771091420635956 0
1380 -500 50 -2.734914174169316 0
1390 -500 50 -2.699080703522274 0
1400 -500 50 -2.663596577883895 0
1410 -500 50 -2.628466837592089 0
1420 -500 50 -2.593696012556276 0
1430 -500 50 -2.559288140760804 0
1440 -500 50 -2.525246786799069 0
1450 -500 50 -2.491575060373605 0
