# y(m)-easting x(m)-northing ele(m) obs-val(mGal|Eo) obs-dev(mGal|Eo)
-500 -500 50 3.191420068573662 0
-490 -500 50 3.242446137359871 0
-480 -500 50 3.294116505364568 0
-470 -500 50 3.346423680703547 0
-460 -500 50 3.399358927520443 0
-450 -500 50 3.452912193624109 0
-440 -500 50 3.507072035779556 0
-430 -500 50 3.561825542669959 0
-420 -500 50 3.617158255688787 0
-410 -500 50 3.673054087594028 0
-400 -500 50 3.72949523916339 0
-390 -500 50 3.78646211407149 0
-380 -500 50 3.843933232148268 0
-370 -500 50 3.901885141177257 0
-360 -500 50 3.960292327580709 0
-350 -500 50 4.01912712624797 0
-340 -500 50 4.078359629738519 0
-330 -500 50 4.137957597426149 0
-320 -500 50 4.197886364737998 0
-310 -500 50 4.258108753196443 0
-300 -500 50 4.318584981507727 0
-290 -500 50 4.379272578459338 0
-280 -500 50 4.440126298045812 0
-270 -500 50 4.501098037597735 0
-260 -500 50 4.562136759484221 0
-250 -500 50 4.623188417214586 0
-240 -500 50 4.68419588668523 0
-230 -500 50 4.745098903437312 0
-220 -500 50 4.805834006776446 0
-210 -500 50 4.866334491686951 0
-200 -500 50 4.926530369571174 0
-190 -500 50 4.986348338709775 0
-180 -500 50 5.045711765603308 0
-170 -500 50 5.104540678196142 0
-160 -500 50 5.162751772024152 0
-150 -500 50 5.220258430522223 0
-140 -500 50 5.276970760452741 0
-130 -500 50 5.332795643594649 0
-120 -500 50 5.387636805786815 0
-110 -500 50 5.441394904347458 0
-100 -500 50 5.493967634841053 0
-90 -500 50 5.545249858151405 0
-80 -500 50 5.595133748694781 0
-70 -500 50 5.643508964554865 0
-60 -500 50 5.690262840180567 0
-50 -500 50 5.735280602201468 0
-40 -500 50 5.77844560865427 0
-30 -500 50 5.819639612025373 0
-20 -500 50 5.858743045940297 0
-10 -500 50 5.895635335577468 0
0 -500 50 5.93019523126799 0
10 -500 50 5.96230116486978 0
20 -500 50 5.991831628057872 0
30 -500 50 6.018665571499412 0
40 -500 50 6.042682823657263 0
50 -500 50 6.06376452773376 0
60 -500 50 6.081793594948567 0
70 -500 50 6.096655172219551 0
80 -500 50 6.108237121901908 0
90 -500 50 6.116430511236805 0
100 -500 50 6.12113010884087 0
110 -500 50 6.122234885290825 0
120 -500 50 6.119648514875917 0
130 -500 50 6.113279875356836 0
140 -500 50 6.103043542426226 0
150 -500 50 6.088860275553953 0
160 -500 50 6.070657491840861 0
170 -500 50 6.048369724471202 0
180 -500 50 6.021939062439611 0
190 -500 50 5.991315568201249 0
200 -500 50 5.956457670153601 0
210 -500 50 5.917332526816329 0
220 -500 50 5.873916359922331 0
230 -500 50 5.826194753748127 0
240 -500 50 5.774162918270238 0
250 -500 50 5.717825914012669 0
260 -500 50 5.6571988367559 0
270 -500 50 5.592306960522548 0
280 -500 50 5.52318583763623 0
290 -500 50 5.449881355004687 0
300 -500 50 5.372449745896263 0
310 -500 50 5.290957557169683 0
320 -500 50 5.205481571844408 0
330 -500 50 5.116108687461384 0
340 -500 50 5.02293575092474 0
350 -500 50 4.926069350661525 0
360 -500 50 4.825625567353385 0
370 -500 50 4.721729684635248 0
380 -500 50 4.614515861321559 0
390 -500 50 4.504126766967749 0
400 -500 50 4.390713182689358 0
410 -500 50 4.274433569271056 0
420 -500 50 4.155453604769771 0
430 -500 50 4.033945693749465 0
440 -500 50 3.910088450532168 0
450 -500 50 3.784066158756007 0
460 -500 50 3.656068209651828 0
470 -500 50 3.526288521344525 0
480 -500 50 3.394924941744943 0
490 -500 50 3.262178637267018 0
500 -500 50 3.12825347000806 0
510 -500 50 2.993355365627646 0
520 -500 50 2.857691674532473 0
530 -500 50 2.721470528764698 0
540 -500 50 2.58490019713526 0
550 -500 50 2.448188440988428 0
560 -500 50 2.311541873302346 0
570 -500 50 2.175165323506099 0
580 -500 50 2.039261210740832 0
590 -500 50 1.904028928093742 0
600 -500 50 1.769664240398244 0
610 -500 50 1.636358698322055 0
