# y(m)-easting x(m)-northing ele(m) obs-val(mGal|Eo) obs-dev(mGal|Eo)
-500 -500 50 3.755024927907341 0
-490 -500 50 3.818031332452447 0
-480 -500 50 3.881788178484817 0
-470 -500 50 3.946280147741036 0
-460 -500 50 4.011489963501783 0
-450 -500 50 4.077398279618778 0
-440 -500 50 4.143983565927895 0
-430 -500 50 4.211221990189022 0
-420 -500 50 4.279087296673787 0
-410 -500 50 4.347550681581382 0
-400 -500 50 4.41658066550155 0
-390 -500 50 4.486142963161316 0
-380 -500 50 4.55620035080148 0
-370 -500 50 4.626712531466382 0
-360 -500 50 4.697635998674008 0
-350 -500 50 4.76892389889236 0
-340 -500 50 4.840525893336175 0
-330 -500 50 4.912388019685302 0
-320 -500 50 4.98445255437476 0
-310 -500 50 5.0566578761518 0
-300 -500 50 5.128938331720792 0
-290 -500 50 5.20122410433224 0
-280 -500 50 5.27344108625917 0
-270 -500 50 5.345510756190579 0
-260 -500 50 5.417350062676889 0
-250 -500 50 5.488871314746046 0
-240 -500 50 5.559982081048505 0
-230 -500 50 5.630585098830424 0
-220 -500 50 5.700578194132187 0
-210 -500 50 5.769854214816456 0
-200 -500 50 5.838300977866818 0
-190 -500 50 5.905801232681285 0
-180 -500 50 5.972232642006642 0
-170 -500 50 6.037467782248822 0
-160 -500 50 6.101374164917794 0
-150 -500 50 6.163814281002516 0
-140 -500 50 6.224645670043206 0
-130 -500 50 6.283721015699722 0
-120 -500 50 6.340888269538183 0
-110 -500 50 6.395990804749928 0
-100 -500 50 6.448867601407506 0
-90 -500 50 6.499353464787988 0
-80 -500 50 6.547279278150034 0
-70 -500 50 6.592472291261879 0
-60 -500 50 6.634756445668722 0
-50 -500 50 6.673952737670017 0
-40 -500 50 6.70987961953684 0
-30 -500 50 6.742353439435194 0
-20 -500 50 6.771188920085603 0
-10 -500 50 6.796199675935838 0
0 -500 50 6.817198768299164 0
10 -500 50 6.833999297499592 0
20 -500 50 6.846415030739182 0
30 -500 50 6.854261063975801 0
40 -500 50 6.857354515683545 0
50 -500 50 6.855515250022192 0
60 -500 50 6.848566626432727 0
70 -500 50 6.836336272362419 0
80 -500 50 6.818656875363182 0
90 -500 50 6.795366990484028 0
100 -500 50 6.766311858465758 0
110 -500 50 6.731344229983416 0
120 -500 50 6.690325190863022 0
130 -500 50 6.643124982978701 0
140 -500 50 6.589623815325492 0
150 -500 50 6.529712659641995 0
160 -500 50 6.463294024890296 0
170 -500 50 6.390282704841805 0
180 -500 50 6.310606493101756 0
190 -500 50 6.224206860029486 0
200 -500 50 6.131039586110496 0
210 -500 50 6.031075346683837 0
220 -500 50 5.92430024315276 0
230 -500 50 5.810716276156329 0
240 -500 50 5.690341756655686 0
250 -500 50 5.563211651292962 0
260 -500 50 5.42937785885103 0
270 -500 50 5.288909415224524 0
280 -500 50 5.141892624841628 0
290 -500 50 4.988431116962569 0
300 -500 50 4.828645825972424 0
310 -500 50 4.662674895254733 0
320 -500 50 4.490673504783382 0
330 -500 50 4.312813623167451 0
340 -500 50 4.129283685316694 0
350 -500 50 3.940288197413369 0
360 -500 50 3.74604727128377 0
370 -500 50 3.546796090681366 0
380 -500 50 3.342784312338723 0
390 -500 50 3.134275404934412 0
400 -500 50 2.921545929403852 0
410 -500 50 2.704884764262701 0
420 -500 50 2.48459227973221 0
430 -500 50 2.260979464645678 0
440 -500 50 2.034367010230488 0
450 -500 50 1.805084354871448 0
460 -500 50 1.573468694118079 0
470 -500 50 1.339863960105936 0
480 -500 50 1.10461977471168 0
490 -500 50 0.8680903806562578 0
500 -500 50 0.6306335548760447 0
510 -500 50 0.3926095083865941 0
520 -500 50 0.1543797769479632 0
530 -500 50 -0.08369389317530893 0
540 -500 50 -0.3212506600919091 0
550 -500 50 -0.5579316974550742 0
560 -500 50 -0.7933812975743473 0
570 -500 50 -1.027247962130091 0
580 -500 50 -1.259185476031268 0
590 -500 50 -1.48885396008389 0
600 -500 50 -1.71592089791803 0
610 -500 50 -1.94006213280201 0
620 -500 50 -2.160962829874372 0
630 -500 50 -2.378318399378539 0
640 -500 50 -2.591835376573453 0
650 -500 50 -2.801232254032123 0
660 -500 50 -3.006240262245504 0
670 -500 50 -3.206604094514892 0
680 -500 50 -3.402082572429676 0
690 -500 50 -3.592449248425451 0
700 -500 50 -3.777492942231847 0
710 -500 50 -3.957018208399319 0
720 -500 50 -4.130845732437154 0
730 -500 50 -4.29881265359863 0
740 -500 50 -4.460772812768993 0
750 -500 50 -4.616596924462363 0
760 -500 50 -4.766172672455355 0
770 -500 50 -4.909404729131645 0
780 -500 50 -5.046214699203683 0
790 -500 50 -5.176540989053514 0
800 -500 50 -5.300338603462418 0
810 -500 50 -5.417578872115334 0
820 -500 50 -5.528249108752211 0
830 -500 50 -5.632352206358225 0
840 -500 50 -5.729906172253995 0
850 -500 50 -5.820943607366046 0
860 -500 50 -5.905511134315998 0
870 -500 50 -5.98366877929428 0
880 -500 50 -6.055489312907151 0
890 -500 50 -6.121057555461193 0
900 -500 50 -6.18046965213012 0
910 -500 50 -6.233832323669443 0
920 -500 50 -6.281262098238262 0
930 -500 50 -6.32288452985827 0
940 -500 50 -6.358833408961835 0
950 -500 50 -6.389249970220789 0
960 -500 50 -6.414282102729238 0
970 -500 50 -6.434083567274973 0
980 -500 50 -6.448813225176662 0
990 -500 50 -6.458634282791674 0
1000 -500 50 -6.46371355552105 0
1010 -500 50 -6.4642207546513 0
1020 -500 50 -6.460327800084621 0
1030 -500 50 -6.452208161569706 0
1040 -500 50 -6.440036230657755 0
1050 -500 50 -6.423986725220232 0
1060 -500 50 -6.404234127983163 0
1070 -500 50 -6.380952160179958 0
1080 -500 50 -6.354313291056776 0
1090 -500 50 -6.324488283630446 0
1100 -500 50 -6.291645776819242 0
1110 -500 50 -6.255951903769789 0
1120 -500 50 -6.217569945910857 0
1130 -500 50 -6.176660022100747 0
1140 -500 50 -6.133378811987741 0
1150 -500 50 -6.087879312499579 0
1160 -500 50 -6.040310626286916 0
1170 -500 50 -5.990817780791716 0
1180 -500 50 -5.939541576469409 0
1190 -500 50 -5.886618462684104 0
1200 -500 50 -5.832180439687265 0
1210 -500 50 -5.776354985036093 0
1220 -500 50 -5.719265002889018 0
1230 -500 50 -5.661028794432571 0
1240 -500 50 -5.60176004790087 0
1250 -500 50 -5.541567846538546 0
1260 -500 50 -5.480556692901018 0
1270 -500 50 -5.418826548032083 0
1280 -500 50 -5.356472883977816 0
1290 -500 50 -5.293586748220296 0
1300 -500 50 -5.23025483871116 0
1310 -500 50 -5.166559588176474 0
1320 -500 50 -5.102579256468969 0
1330 -500 50 -5.038388029852399 0
1340 -500 50 -4.974056126106717 0
1350 -500 50 -4.909649904462994 0
1360 -500 50 -4.84523197945097 0
1370 -500 50 -4.780861337757171 0
1380 -500 50 -4.716593457393014 0
1390 -500 50 -4.652480428322495 0
1400 -500 50 -4.588571074014978 0
1410 -500 50 -4.524911073262135 0
1420 -500 50 -4.461543081729197 0
1430 -500 50 -4.39850685280127 0
1440 -500 50 -4.335839357237467 0
1450 -500 50 -4.273574901336366 0
1460 -500 50 -4.211745243206128 0
1470 -500 50 -4.150379706917709 0
1480 -500 50 -4.089505294256573 0
1490 -500 50 -4.029146793902225 0
1500 -500 50 -3.96932688782207 0
-500 -490 50 3.80010176812714 0
-490 -490 50 3.864820491792975 0
-480 -490 50 3.930342077398731 0
-470 -490 50 3.996652190402856 0
-460 -490 50 4.063734502977293 0
-450 -490 50 4.131570576982217 0
-440 -490 50 4.200139742954674 0
-430 -490 50 4.269418975139012 0
-420 -490 50 4.339382762618186 0
-410 -490 50 4.410002976833383 0
-400 -490 50 4.48124873557651 0
-390 -490 50 4.553086263776873 0
-380 -490 50 4.625478751313881 0
-370 -490 50 4.69838620824619 0
-360 -490 50 4.771765317826396 0
-350 -490 50 4.845569287782428 0
-340 -490 50 4.91974770035197 0
-330 -490 50 4.994246361712534 0
-320 -490 50 5.069007151416463 0
-310 -490 50 5.143967872626376 0
-300 -490 50 5.219062103922925 0
-290 -490 50 5.294219053610189 0
-280 -490 50 5.369363417519933 0
-270 -490 50 5.444415241364175 0
-260 -490 50 5.519289788832989 0
-250 -490 50 5.593897416689263 0
-240 -490 50 5.668143458199786 0
-230 -490 50 5.741928116362121 0
-220 -490 50 5.815146368459176 0
-210 -490 50 5.887687883540475 0
-200 -490 50 5.959436954568234 0
-190 -490 50 6.030272446941071 0
-180 -490 50 6.100067765300054 0
-170 -490 50 6.168690840479193 0
-160 -490 50 6.236004138524942 0
-150 -490 50 6.301864693822067 0
-140 -490 50 6.366124168218757 0
-130 -490 50 6.428628938258553 0
-120 -490 50 6.489220212343469 0
-110 -490 50 6.547734179873775 0
-100 -490 50 6.604002194119319 0
-90 -490 50 6.65785099062598 0
-80 -490 50 6.709102942758169 0
-70 -490 50 6.757576355867123 0
-60 -490 50 6.803085801344339 0
-50 -490 50 6.845442491671025 0
-40 -490 50 6.884454697243048 0
-30 -490 50 6.919928205529573 0
-20 -490 50 6.951666822799063 0
-10 -490 50 6.979472918276438 0
0 -490 50 7.003148010245996 0
10 -490 50 7.022493393237185 0
20 -490 50 7.037310804928452 0
30 -490 50 7.047403131119292 0
40 -490 50 7.052575146440768 0
50 -490 50 7.052634288290879 0
60 -490 50 7.04739146075311 0
70 -490 50 7.036661864977998 0
80 -490 50 7.02026585200573 0
90 -490 50 6.998029793538883 0
100 -490 50 6.969786965825365 0
110 -490 50 6.935378441450744 0
120 -490 50 6.89465398342681 0
130 -490 50 6.847472935823594 0
140 -490 50 6.79370510481245 0
150 -490 50 6.733231623964306 0
160 -490 50 6.665945797464148 0
170 -490 50 6.591753914900794 0
180 -490 50 6.510576031339022 0
190 -490 50 6.422346706518339 0
200 -490 50 6.327015697168013 0
210 -490 50 6.224548596756961 0
220 -490 50 6.114927417265898 0
230 -490 50 5.998151108016813 0
240 -490 50 5.874236007071682 0
250 -490 50 5.743216221101383 0
260 -490 50 5.605143930385514 0
270 -490 50 5.460089615976401 0
280 -490 50 5.30814220682949 0
290 -490 50 5.149409145272365 0
300 -490 50 4.98401636978807 0
310 -490 50 4.812108214822889 0
