# y(m)-easting x(m)-northing ele(m) obs-val(mGal|Eo) obs-dev(mGal|Eo)
-500 -500 50 1.79630529837403 0
-490 -500 50 1.785244212021554 0
-480 -500 50 1.772936451700038 0
-470 -500 50 1.759331452214947 0
-460 -500 50 1.744377370418072 0
-450 -500 50 1.728021101009321 0
-440 -500 50 1.710208297629709 0
-430 -500 50 1.690883399691299 0
-420 -500 50 1.66998966542279 0
-410 -500 50 1.647469211619045 0
-400 -500 50 1.623263060606397 0
-390 -500 50 1.597311194946667 0
-380 -500 50 1.569552620427464 0
-370 -500 50 1.539925437889152 0
-360 -500 50 1.508366924459243 0
-350 -500 50 1.474813624760181 0
-340 -500 50 1.439201452681338 0
-330 -500 50 1.401465804269738 0
-320 -500 50 1.361541682336474 0
-310 -500 50 1.319363833323154 0
-300 -500 50 1.274866896980121 0
-290 -500 50 1.227985569381446 0
-280 -500 50 1.178654779766526 0
-270 -500 50 1.126809881662244 0
-260 -500 50 1.072386858701981 0
-250 -500 50 1.015322545486506 0
-240 -500 50 0.9555548637746997 0
-230 -500 50 0.8930230742252661 0
-220 -500 50 0.8276680438008858 0
-210 -500 50 0.7594325288683276 0
-200 -500 50 0.6882614739051965 0
-190 -500 50 0.6141023256096502 0
-180 -500 50 0.5369053620712062 0
-170 -500 50 0.4566240365021157 0
-160 -500 50 0.3732153348965694 0
-150 -500 50 0.2866401467823962 0
-140 -500 50 0.1968636480753769 0
-130 -500 50 0.1038556948440257 0
-120 -500 50 0.007591226568575442 0
-110 -500 50 -0.09194932266709427 0
-100 -500 50 -0.1947796069037457 0
-90 -500 50 -0.3009069469585618 0
-80 -500 50 -0.4103319072602788 0
-70 -500 50 -0.5230478733374365 0
-60 -500 50 -0.6390406326165639 0
-50 -500 50 -0.758287961422062 0
-40 -500 50 -0.8807592212422014 0
-30 -500 50 -1.006414967507251 0
-20 -500 50 -1.135206574275855 0
-10 -500 50 -1.267075878369341 0
0 -500 50 -1.401954846590887 0
10 -500 50 -1.539765269748204 0
20 -500 50 -1.680418487227673 0
30 -500 50 -1.823815145887165 0
40 -500 50 -1.969844996969274 0
50 -500 50 -2.118386734683953 0
60 -500 50 -2.269307879943144 0
70 -500 50 -2.422464712577503 0
80 -500 50 -2.577702255132552 0
90 -500 50 -2.734854311049367 0
100 -500 50 -2.893743559735318 0
110 -500 50 -3.054181710635683 0
120 -500 50 -3.215969718026294 0
130 -500 50 -3.378898057784368 0
140 -500 50 -3.54274706690891 0
150 -500 50 -3.7072873460547 0
160 -500 50 -3.87228022480695 0
170 -500 50 -4.037478288867612 0
180 -500 50 -4.202625967781777 0
190 -500 50 -4.367460181262317 0
200 -500 50 -4.531711041632222 0
210 -500 50 -4.695102609387054 0
220 -500 50 -4.857353698357426 0
230 -500 50 -5.01817872650525 0
240 -500 50 -5.177288607951253 0
250 -500 50 -5.334391681460154 0
260 -500 50 -5.489194670271083 0
270 -500 50 -5.641403667921407 0
280 -500 50 -5.790725144465671 0
290 -500 50 -5.93686696739622 0
300 -500 50 -6.079539431433867 0
310 -500 50 -6.218456291388072 0
320 -500 50 -6.353335792300583 0
330 -500 50 -6.483901691172704 0
340 -500 50 -6.609884264756689 0
350 -500 50 -6.731021298048105 0
360 -500 50 -6.847059048390125 0
370 -500 50 -6.957753180327772 0
380 -500 50 -7.062869666675261 0
390 -500 50 -7.162185651571344 0
400 -500 50 -7.25549027160314 0
410 -500 50 -7.342585431437521 0
420 -500 50 -7.423286530717365 0
430 -500 50 -7.497423139302638 0
440 -500 50 -7.564839618278851 0
450 -500 50 -7.625395684420985 0
460 -500 50 -7.678966916114286 0
470 -500 50 -7.72544519901278 0
480 -500 50 -7.76473910990601 0
490 -500 50 -7.796774237593952 0
500 -500 50 -7.821493439689799 0
510 -500 50 -7.838857034543567 0
520 -500 50 -7.848842927654686 0
530 -500 50 -7.85144667207434 0
540 -500 50 -7.846681462594098 0
550 -500 50 -7.834578063589077 0
560 -500 50 -7.815184670648239 0
570 -500 50 -7.788566706311753 0
580 -500 50 -7.754806550405545 0
590 -500 50 -7.714003205782848 0
600 -500 50 -7.666271900448403 0
610 -500 50 -7.61174362737164 0
620 -500 50 -7.550564623573442 0
630 -500 50 -7.482895790327231 0
640 -500 50 -7.408912056773826 0
650 -500 50 -7.328801689467394 0
660 -500 50 -7.242765550791632 0
670 -500 50 -7.15101630957132 0
680 -500 50 -7.053777607490383 0
690 -500 50 -6.951283185391556 0
700 -500 50 -6.843775973805228 0
710 -500 50 -6.731507152409091 0
720 -500 50 -6.614735183465238 0
730 -500 50 -6.493724824434758 0
740 -500 50 -6.368746125365255 0
750 -500 50 -6.240073416668356 0
760 -500 50 -6.107984293134223 0
770 -500 50 -5.97275860009302 0
780 -500 50 -5.834677427547184 0
790 -500 50 -5.694022118198531 0
800 -500 50 -5.551073295064805 0
810 -500 50 -5.406109914224804 0
820 -500 50 -5.259408348055103 0
830 -500 50 -5.1112415038754 0
840 -500 50 -4.961877982765722 0
850 -500 50 -4.811581282725031 0
