# y(m)-easting x(m)-northing ele(m) obs-val(mGal|Eo) obs-dev(mGal|Eo)
-500 -500 50 0.005360251254683119 0
-490 -500 50 0.005518841999766132 0
-480 -500 50 0.005681711004527502 0
-470 -500 50 0.005848930809675135 0
-460 -500 50 0.00602057126984797 0
-450 -500 50 0.006196699131735331 0
-440 -500 50 0.006377377582102115 0
-430 -500 50 0.006562665764655698 0
-420 -500 50 0.006752618264751841 0
-410 -500 50 0.006947284561074347 0
-400 -500 50 0.007146708443489357 0
-390 -500 50 0.007350927396461863 0
-380 -500 50 0.007559971947559817 0
-370 -500 50 0.007773864980777288 0
-360 -500 50 0.007992621014640738 0
-350 -500 50 0.008216245445287438 0
-340 -500 50 0.008444733755041499 0
-330 -500 50 0.008678070687299096 0
-320 -500 50 0.00891622938891239 0
-310 -500 50 0.009159170521682667 0
-300 -500 50 0.009406841344958937 0
-290 -500 50 0.00965917477189295 0
-280 -500 50 0.009916088402360341 0
-270 -500 50 0.01017748353614492 0
-260 -500 50 0.01044324417059395 0
-250 -500 50 0.01071323598753933 0
-240 -500 50 0.01098730533500915 0
-230 -500 50 0.01126527820989598 0
-220 -500 50 0.01154695924849617 0
-210 -500 50 0.01183213073257004 0
-200 -500 50 0.01212055161929641 0
-190 -500 50 0.01241195660427887 0
-180 -500 50 0.01270605522746303 0
-170 -500 50 0.01300253103256024 0
-160 -500 50 0.01330104079125955 0
-150 -500 50 0.01360121380412077 0
-140 -500 50 0.01390265129062908 0
-130 -500 50 0.0142049258813797 0
-120 -500 50 0.01450758122572811 0
-110 -500 50 0.0148101317285479 0
-100 -500 50 0.01511206242982488 0
-90 -500 50 0.01541282904083856 0
-80 -500 50 0.01571185815047508 0
-70 -500 50 0.0160085476147966 0
-60 -500 50 0.0163022671424624 0
-50 -500 50 0.01659235908771047 0
-40 -500 50 0.01687813946162404 0
-30 -500 50 0.01715889917107279 0
-20 -500 50 0.01743390549320204 0
-10 -500 50 0.0177024037915655 0
0 -500 50 0.01796361947795381 0
10 -500 50 0.01821676022174882 0
20 -500 50 0.01846101840613376 0
30 -500 50 0.01869557382784402 0
40 -500 50 0.0189195966343388 0
50 -500 50 0.01913225048926151 0
60 -500 50 0.01933269595410875 0
70 -500 50 0.01952009407085436 0
80 -500 50 0.01969361012726399 0
90 -500 50 0.01985241758361713 0
100 -500 50 0.01999570213664607 0
110 -500 50 0.02012266589384373 0
120 -500 50 0.02023253162879272 0
130 -500 50 0.02032454708603229 0
140 -500 50 0.02039798930217489 0
150 -500 50 0.02045216890856514 0
160 -500 50 0.02048643437985368 0
170 -500 50 0.02050017619233825 0
180 -500 50 0.020492830855996 0
190 -500 50 0.02046388478467197 0
200 -500 50 0.02041287796994872 0
210 -500 50 0.02033940742582206 0
220 -500 50 0.02024313037337698 0
230 -500 50 0.02012376713717302 0
240 -500 50 0.01998110372800155 0
250 -500 50 0.01981499408994034 0
260 -500 50 0.01962536199320746 0
270 -500 50 0.01941220255807656 0
280 -500 50 0.01917558339902659 0
290 -500 50 0.01891564538227334 0
300 -500 50 0.01863260299370575 0
310 -500 50 0.01832674431810526 0
320 -500 50 0.01799843063412473 0
330 -500 50 0.01764809563287723 0
340 -500 50 0.01727624427105257 0
350 -500 50 0.01688345127216149 0
360 -500 50 0.01647035929182436 0
370 -500 50 0.01603767676487899 0
380 -500 50 0.01558617545355447 0
390 -500 50 0.01511668771698254 0
400 -500 50 0.0146301035229162 0
410 -500 50 0.01412736722280435 0
420 -500 50 0.01360947411122249 0
430 -500 50 0.01307746679031338 0
440 -500 50 0.01253243135926164 0
450 -500 50 0.01197549344800689 0
460 -500 50 0.01140781411351957 0
470 -500 50 0.01083058561602802 0
480 -500 50 0.01024502709160671 0
490 -500 50 0.009652380136747579 0
500 -500 50 0.009053904319762088 0
510 -500 50 0.008450872633322074 0
520 -500 50 0.007844566902127459 0
530 -500 50 0.007236273159519141 0
540 -500 50 0.006627277007042305 0
550 -500 50 0.006018858971303981 0
560 -500 50 0.005412289873062402 0
570 -500 50 0.004808826224310639 0
580 -500 50 0.004209705670106153 0
590 -500 50 0.003616142492979001 0
600 -500 50 0.003029323198980226 0
610 -500 50 0.002450402205586762 0
620 -500 50 0.0018804976528893 0
630 -500 50 0.001320687360510779 0
640 -500 50 0.0007720049535749383 0
650 -500 50 0.0002354361817052425 0
660 -500 50 -0.0002880845446847808 0
670 -500 50 -0.0007976773764930329 0
680 -500 50 -0.001292519982569398 0
690 -500 50 -0.001771850217844602 0
700 -500 50 -0.002234968481170584 0
710 -500 50 -0.002681239742830097 0
720 -500 50 -0.003110095223842378 0
730 -500 50 -0.003521033711752249 0
740 -500 50 -0.003913622500625622 0
750 -500 50 -0.00428749794624339 0
760 -500 50 -0.004642365631143438 0
770 -500 50 -0.004978000137961291 0
780 -500 50 -0.005294244433509513 0
790 -500 50 -0.005591008870096789 0
800 -500 50 -0.005868269814590855 0
810 -500 50 -0.006126067919696452 0
820 -500 50 -0.00636450605565192 0
830 -500 50 -0.006583746924077059 0
840 -500 50 -0.006784010378874602 0
850 -500 50 -0.006965570481907844 0
860 -500 50 -0.007128752323553503 0
870 -500 50 -0.007273928640120519 0
880 -500 50 -0.007401516261557203 0
890 -500 50 -0.007511972423764718 0
900 -500 50 -0.007605790980208358 0
910 -500 50 -0.00768349854743933 0
920 -500 50 -0.007745650618507747 0
930 -500 50 -0.007792827677224065 0
940 -500 50 -0.007825631344760215 0
950 -500 50 -0.007844680588261679 0
960 -500 50 -0.007850608018977336 0
970 -500 50 -0.007844056305062248 0
980 -500 50 -0.007825674721534918 0
990 -500 50 -0.007796115857177088 0
1000 -500 50 -0.007756032495296843 0
1010 -500 50 -0.007706074682379277 0
1020 -500 50 -0.007646886995843371 0
1030 -500 50 -0.00757910601922331 0
1040 -500 50 -0.007503358030486382 0
1050 -500 50 -0.007420256906569113 0
1060 -500 50 -0.007330402244819108 0
1070 -500 50 -0.007234377699831743 0
1080 -500 50 -0.007132749532148345 0
1090 -500 50 -0.007026065363485893 0
1100 -500 50 -0.006914853131641413 0
1110 -500 50 -0.006799620236792659 0
1120 -500 50 -0.00668085286991523 0
1130 -500 50 -0.006559015513031993 0
1140 -500 50 -0.006434550600389775 0
1150 -500 50 -0.006307878329155183 0
1160 -500 50 -0.006179396607870725 0
1170 -500 50 -0.006049481130841164 0
1180 -500 50 -0.005918485566550618 0
1190 -500 50 -0.005786741848412388 0
1200 -500 50 -0.005654560556379318 0
1210 -500 50 -0.005522231378286736 0
1220 -500 50 -0.005390023640278675 0
1230 -500 50 -0.005258186896124698 0
1240 -500 50 -0.005126951565818793 0
1250 -500 50 -0.004996529614454099 0
1260 -500 50 -0.004867115262943983 0
1270 -500 50 -0.004738885722855577 0
1280 -500 50 -0.004612001948214569 0
1290 -500 50 -0.004486609397799371 0
1300 -500 50 -0.004362838802080542 0
1310 -500 50 -0.004240806929525235 0
1320 -500 50 -0.004120617347645793 0
1330 -500 50 -0.004002361174661326 0
1340 -500 50 -0.003886117818213147 0
1350 -500 50 -0.003771955698097537 0
1360 -500 50 -0.003659932950358995 0
1370 -500 50 -0.003550098110647001 0
1380 -500 50 -0.003442490775024665 0
1390 -500 50 -0.003337142236844662 0
1400 -500 50 -0.003234076098649186 0
1410 -500 50 -0.003133308858285942 0
1420 -500 50 -0.003034850468788638 0
1430 -500 50 -0.00293870487173107 0
1440 -500 50 -0.00284487050402661 0
1450 -500 50 -0.002753340778311013 0
1460 -500 50 -0.002664104537197857 0
1470 -500 50 -0.002577146481852178 0
1480 -500 50 -0.002492447575427944 0
1490 -500 50 -0.002409985422023566 0
1500 -500 50 -0.002329734621879181 0
-500 -490 50 0.005435876666795601 0
-490 -490 50 0.005598880963842306 0
-480 -490 50 0.005766375829487084 0
-470 -490 50 0.005938442210962568 0
-460 -490 50 0.006115158544323872 0
-450 -490 50 0.00629660031855697 0
-440 -490 50 0.006482839607150501 0
-430 -490 50 0.006673944565866453 0
-420 -490 50 0.006869978895475729 0
-410 -490 50 0.007071001268389832 0
-400 -490 50 0.007277064718151588 0
-390 -490 50 0.007488215990943682 0
-380 -490 50 0.007704494858427586 0
-370 -490 50 0.007925933391379064 0
-360 -490 50 0.008152555193898561 0
-350 -490 50 0.008384374598150012 0
-340 -490 50 0.008621395819935047 0
-330 -490 50 0.008863612075755372 0
-320 -490 50 0.009111004662342504 0
-310 -490 50 0.009363542000143979 0
-300 -490 50 0.009621178642647195 0
-290 -490 50 0.009883854253987114 0
-280 -490 50 0.01015149255784078 0
-270 -490 50 0.01042400026119559 0
-260 -490 50 0.0107012659572729 0
-250 -490 50 0.01098315901255702 0
-240 -490 50 0.01126952844362486 0
-230 -490 50 0.01156020179027042 0
-220 -490 50 0.01185498399217792 0
-210 -490 50 0.01215365627729464 0
-200 -490 50 0.01245597507084551 0
-190 -490 50 0.01276167093481148 0
-180 -490 50 0.01307044754858027 0
-170 -490 50 0.01338198074224102 0
-160 -490 50 0.01369591759487843 0
-150 -490 50 0.01401187561093871 0
-140 -490 50 0.01432944198842376 0
-130 -490 50 0.0146481729933424 0
-120 -490 50 0.01496759345526032 0
-110 -490 50 0.01528719639926894 0
-100 -490 50 0.01560644282985449 0
-90 -490 50 0.01592476168224764 0
-80 -490 50 0.01624154995670225 0
-70 -490 50 0.01655617305079662 0
-60 -490 50 0.01686796530430352 0
-50 -490 50 0.01717623077031666 0
-40 -490 50 0.01748024422526514 0
-30 -490 50 0.01777925242906678 0
-20 -490 50 0.0180724756449991 0
-10 -490 50 0.01835910942698181 0
0 -490 50 0.01863832667969142 0
10 -490 50 0.01890927999445663 0
20 -490 50 0.01917110426115361 0
30 -490 50 0.01942291955329626 0
40 -490 50 0.01966383428037875 0
50 -490 50 0.019892948598145 0
60 -490 50 0.02010935806403377 0
70 -490 50 0.02031215752150321 0
80 -490 50 0.0205004451934143 0
90 -490 50 0.02067332696120599 0
100 -490 50 0.02082992080323379 0
110 -490 50 0.02096936136251683 0
120 -490 50 0.02109080461126637 0
130 -490 50 0.02119343257702825 0
