# y(m)-easting x(m)-northing ele(m) obs-val(mGal|Eo) obs-dev(mGal|Eo)
-500 -500 50 0.005070171883005326 0
-490 -500 50 0.005134936690988408 0
-480 -500 50 0.005199012160799061 0
-470 -500 50 0.005262277429881015 0
-460 -500 50 0.005324604521912081 0
-450 -500 50 0.005385858106890433 0
-440 -500 50 0.005445895266973426 0
-430 -500 50 0.005504565269983569 0
-420 -500 50 0.005561709352707352 0
-410 -500 50 0.005617160516289666 0
-400 -500 50 0.005670743336256 0
-390 -500 50 0.005722273789892038 0
-380 -500 50 0.00577155910394774 0
-370 -500 50 0.005818397625838139 0
-360 -500 50 0.005862578721753283 0
-350 -500 50 0.005903882705306526 0
-340 -500 50 0.005942080800569646 0
-330 -500 50 0.005976935143562986 0
-320 -500 50 0.006008198826460987 0
-310 -500 50 0.006035615988978145 0
-300 -500 50 0.006058921961547011 0
-290 -500 50 0.006077843465066596 0
-280 -500 50 0.006092098872099683 0
-270 -500 50 0.006101398534483612 0
-260 -500 50 0.00610544518235155 0
-250 -500 50 0.006103934399557778 0
-240 -500 50 0.00609655518042455 0
-230 -500 50 0.006082990572607428 0
-220 -500 50 0.006062918410668259 0
-210 -500 50 0.006036012144674011 0
-200 -500 50 0.006001941767781723 0
-190 -500 50 0.005960374846300994 0
-180 -500 50 0.005910977655202311 0
-170 -500 50 0.005853416421365036 0
-160 -500 50 0.005787358676105507 0
-150 -500 50 0.005712474717667251 0
-140 -500 50 0.005628439183349072 0
-130 -500 50 0.005534932729881433 0
-120 -500 50 0.005431643819430985 0
-110 -500 50 0.00531827060731514 0
-100 -500 50 0.005194522926104186 0
-90 -500 50 0.005060124359272257 0
-80 -500 50 0.00491481439600871 0
-70 -500 50 0.004758350657145056 0
-60 -500 50 0.004590511180492375 0
-50 -500 50 0.00441109675218966 0
-40 -500 50 0.004219933268968742 0
-30 -500 50 0.004016874114610137 0
-20 -500 50 0.00380180253226718 0
-10 -500 50 0.00357463397286078 0
0 -500 50 0.003335318398406212 0
10 -500 50 0.003083842517961601 0
20 -500 50 0.00282023193291845 0
30 -500 50 0.002544553167637131 0
40 -500 50 0.002256915561002894 0
50 -500 50 0.001957472994325732 0
60 -500 50 0.001646425431229116 0
70 -500 50 0.001324020245742607 0
80 -500 50 0.0009905533157277564 0
90 -500 50 0.0006463698601337462 0
100 -500 50 0.0002918650002584737 0
110 -500 50 -7.251597269978361e-05 0
120 -500 50 -0.0004462776390542981 0
130 -500 50 -0.0008288748134833926 0
140 -500 50 -0.00121971323868209 0
150 -500 50 -0.001618150615839151 0
160 -500 50 -0.002023497974380635 0
170 -500 50 -0.002435021379725448 0
180 -500 50 -0.002851943974016208 0
190 -500 50 -0.003273448340968109 0
200 -500 50 -0.003698679182258564 0
210 -500 50 -0.004126746289279363 0
220 -500 50 -0.004556727790669805 0
230 -500 50 -0.004987673652937817 0
240 -500 50 -0.005418609408712201 0
250 -500 50 -0.005848540084775505 0
260 -500 50 -0.006276454300082493 0
270 -500 50 -0.006701328502529988 0
280 -500 50 -0.007122131312246374 0
290 -500 50 -0.007537827938719104 0
300 -500 50 -0.007947384639135148 0
310 -500 50 -0.00834977318578918 0
320 -500 50 -0.008743975311461375 0
330 -500 50 -0.009128987102974362 0
340 -500 50 -0.009503823314963 0
350 -500 50 -0.009867521577901953 0
360 -500 50 -0.01021914647669421 0
370 -500 50 -0.01055779347865732 0
380 -500 50 -0.01088259269213941 0
390 -500 50 -0.01119271243967748 0
400 -500 50 -0.01148736263201321 0
410 -500 50 -0.01176579793168435 0
420 -500 50 -0.01202732069716443 0
430 -500 50 -0.01227128370040517 0
440 -500 50 -0.01249709261248507 0
450 -500 50 -0.01270420825341905 0
460 -500 50 -0.01289214860338298 0
470 -500 50 -0.01306049057349206 0
480 -500 50 -0.01320887153475296 0
490 -500 50 -0.01333699060424377 0
500 -500 50 -0.01344460968755059 0
510 -500 50 -0.01353155427644359 0
520 -500 50 -0.01359771400055031 0
530 -500 50 -0.01364304293136471 0
540 -500 50 -0.01366755963671328 0
550 -500 50 -0.01367134698335183 0
560 -500 50 -0.01365455168522076 0
570 -500 50 -0.01361738359480923 0
580 -500 50 -0.01356011473511501 0
590 -500 50 -0.01348307807017026 0
600 -500 50 -0.01338666601261932 0
610 -500 50 -0.01327132866783136 0
620 -500 50 -0.01313757181529858 0
630 -500 50 -0.01298595462951207 0
640 -500 50 -0.01281708714452153 0
650 -500 50 -0.01263162746837127 0
660 -500 50 -0.01243027875606474 0
670 -500 50 -0.01221378595228338 0
680 -500 50 -0.011982932317694 0
