# y(m)-easting x(m)-northing ele(m) obs-val(mGal|Eo) obs-dev(mGal|Eo)
-500 -500 50 -0.001820645414237129 0
-490 -500 50 -0.001827629605276613 0
-480 -500 50 -0.001833799177297815 0
-470 -500 50 -0.001839105457527927 0
-460 -500 50 -0.001843498136869853 0
-450 -500 50 -0.00184692527108882 0
-440 -500 50 -0.001849333287750375 0
-430 -500 50 -0.001850666999440321 0
-420 -500 50 -0.001850869623818508 0
-410 -500 50 -0.001849882811084508 0
-400 -500 50 -0.001847646679437244 0
-390 -500 50 -0.001844099859130616 0
-380 -500 50 -0.001839179545737171 0
-370 -500 50 -0.00183282156322748 0
-360 -500 50 -0.001824960437489786 0
-350 -500 50 -0.001815529480887791 0
-340 -500 50 -0.001804460888462856 0
-330 -500 50 -0.001791685846355602 0
-320 -500 50 -0.001777134653002612 0
-310 -500 50 -0.001760736853622806 0
-300 -500 50 -0.001742421388477003 0
-290 -500 50 -0.001722116755314612 0
-280 -500 50 -0.001699751186370719 0
-270 -500 50 -0.001675252840199454 0
-260 -500 50 -0.001648550008533603 0
-250 -500 50 -0.001619571338279046 0
-240 -500 50 -0.001588246068628471 0
-230 -500 50 -0.001554504283158714 0
-220 -500 50 -0.001518277176641257 0
-210 -500 50 -0.00147949733615351 0
-200 -500 50 -0.001438099035907982 0
-190 -500 50 -0.001394018545051447 0
-180 -500 50 -0.001347194447512261 0
-170 -500 50 -0.001297567972767705 0
-160 -500 50 -0.001245083336226563 0
-150 -500 50 -0.001189688087713562 0
-140 -500 50 -0.00113133346632589 0
-130 -500 50 -0.001069974759755166 0
-120 -500 50 -0.001005571665947431 0
-110 -500 50 -0.0009380886547790422 0
-100 -500 50 -0.0008674953272680995 0
-90 -500 50 -0.0007937667696370556 0
-80 -500 50 -0.0007168838994195393 0
-70 -500 50 -0.0006368338006673037 0
-60 -500 50 -0.000553610045203368 0
-50 -500 50 -0.000467212996814027 0
-40 -500 50 -0.000377650095223419 0
-30 -500 50 -0.0002849361167118225 0
-20 -500 50 -0.0001890934082588737 0
-10 -500 50 -9.015209223021503e-05 0
0 -500 50 1.184976129579507e-05 0
10 -500 50 0.0001168659972295692 0
20 -500 50 0.0002248422756562246 0
30 -500 50 0.0003357160116889962 0
40 -500 50 0.0004494163568238355 0
50 -500 50 0.0005658642232866406 0
60 -500 50 0.0006849723524341005 0
70 -500 50 0.0008066454278479983 0
80 -500 50 0.0009307802332886301 0
90 -500 50 0.001057265855191702 0
100 -500 50 0.001185983928903895 0
110 -500 50 0.001316808927356952 0
120 -500 50 0.001449608490389281 0
130 -500 50 0.001584243792486656 0
140 -500 50 0.00172056994624117 0
150 -500 50 0.001858436438462088 0
160 -500 50 0.001997687595530239 0
170 -500 50 0.002138163074249937 0
180 -500 50 0.002279698374302861 0
190 -500 50 0.002422125368169034 0
200 -500 50 0.002565272844351075 0
210 -500 50 0.002708967059694132 0
220 -500 50 0.002853032296651408 0
230 -500 50 0.002997291421504535 0
240 -500 50 0.003141566439690942 0
250 -500 50 0.003285679044690814 0
260 -500 50 0.003429451157206398 0
270 -500 50 0.003572705451704891 0
280 -500 50 0.003715265867798998 0
290 -500 50 0.003856958104305485 0
300 -500 50 0.003997610094232914 0
310 -500 50 0.004137052459355981 0
320 -500 50 0.004275118943390338 0
330 -500 50 0.004411646823163047 0
340 -500 50 0.004546477297448726 0
350 -500 50 0.004679455853458585 0
360 -500 50 0.004810432611138735 0
370 -500 50 0.004939262645640504 0
380 -500 50 0.005065806288395206 0
390 -500 50 0.005189929407291566 0
400 -500 50 0.005311503666453783 0
410 -500 50 0.00543040676602922 0
420 -500 50 0.005546522662335306 0
430 -500 50 0.005659741768525547 0
440 -500 50 0.005769961135808588 0
450 -500 50 0.005877084615045358 0
460 -500 50 0.005981022998354225 0
470 -500 50 0.00608169414018833 0
480 -500 50 0.006179023057130665 0
490 -500 50 0.006272942005560549 0
500 -500 50 0.006363390536163358 0
510 -500 50 0.006450315524247919 0
520 -500 50 0.006533671174762296 0
530 -500 50 0.006613419000947405 0
540 -500 50 0.006689527775663355 0
550 -500 50 0.006761973454558695 0
560 -500 50 0.006830739070453731 0
570 -500 50 0.006895814598585475 0
580 -500 50 0.006957196792638756 0
590 -500 50 0.007014888991869968 0
600 -500 50 0.007068900899986125 0
610 -500 50 0.007119248336859459 0
620 -500 50 0.007165952964590766 0
630 -500 50 0.007209041989801557 0
640 -500 50 0.007248547844523008 0
650 -500 50 0.007284507848349762 0
660 -500 50 0.007316963854923088 0
670 -500 50 0.007345961886113699 0
680 -500 50 0.007371551757454753 0
690 -500 50 0.007393786698641557 0
700 -500 50 0.007412722972947771 0
710 -500 50 0.007428419499473747 0
720 -500 50 0.007440937482104868 0
730 -500 50 0.0074503400488821 0
740 -500 50 0.007456691905352784 0
750 -500 50 0.007460059005151546 0
760 -500 50 0.007460508240732797 0
770 -500 50 0.007458107156818072 0
780 -500 50 0.007452923688621193 0
790 -500 50 0.007445025926506997 0
800 -500 50 0.007434481908214276 0
810 -500 50 0.007421359439256279 0
820 -500 50 0.007405725941654353 0
830 -500 50 0.007387648330607259 0
840 -500 50 0.007367192918316132 0
850 -500 50 0.007344425343681913 0
860 -500 50 0.007319410526262613 0
870 -500 50 0.007292212642523935 0
880 -500 50 0.007262895122145136 0
890 -500 50 0.007231520661938353 0
900 -500 50 0.007198151254783642 0
910 -500 50 0.007162848230883846 0
920 -500 50 0.00712567230864258 0
930 -500 50 0.00708668365246792 0
940 -500 50 0.007045941934918692 0
950 -500 50 0.007003506400720222 0
960 -500 50 0.006959435930353503 0
970 -500 50 0.006913789101144145 0
980 -500 50 0.006866624243982345 0
990 -500 50 0.006817999494089339 0
1000 -500 50 0.006767972834498526 0
1010 -500 50 0.006716602131168106 0
1020 -500 50 0.006663945158960728 0
1030 -500 50 0.006610059617934272 0
1040 -500 50 0.006555003139681671 0
1050 -500 50 0.006498833283656023 0
1060 -500 50 0.00644160752365992 0
1070 -500 50 0.006383383224847775 0
1080 -500 50 0.006324217611760961 0
1090 -500 50 0.006264167728071337 0
1100 -500 50 0.006203290388800093 0
1110 -500 50 0.006141642125883548 0
1120 -500 50 0.006079279128023586 0
1130 -500 50 0.006016257175784473 0
1140 -500 50 0.00595263157294086 0
1150 -500 50 0.005888457075072128 0
1160 -500 50 0.005823787816360777 0
1170 -500 50 0.005758677235563977 0
1180 -500 50 0.005693178002026236 0
1190 -500 50 0.005627341942596021 0
1200 -500 50 0.005561219970208289 0
1210 -500 50 0.005494862014836783 0
1220 -500 50 0.005428316957448965 0
1230 -500 50 0.005361632567499393 0
1240 -500 50 0.005294855444447003 0
1250 -500 50 0.005228030963672825 0
1260 -500 50 0.005161203227120567 0
1270 -500 50 0.005094415018898435 0
1280 -500 50 0.005027707766002364 0
1290 -500 50 0.004961121504283653 0
1300 -500 50 0.004894694849686661 0
1310 -500 50 0.004828464974752536 0
1320 -500 50 0.00476246759033107 0
1330 -500 50 0.004696736932381147 0
1340 -500 50 0.004631305753727806 0
1350 -500 50 0.004566205320591656 0
1360 -500 50 0.00450146541368366 0
1370 -500 50 0.004437114333638253 0
1380 -500 50 0.004373178910535101 0
1390 -500 50 0.004309684517247722 0
1400 -500 50 0.004246655086347149 0
1410 -500 50 0.004184113130287772 0
1420 -500 50 0.004122079764589916 0
1430 -500 50 0.00406057473374037 0
1440 -500 50 0.003999616439536141 0
1450 -500 50 0.00393922197159646 0
1460 -500 50 0.003879407139782418 0
1470 -500 50 0.003820186508266634 0
1480 -500 50 0.003761573431004025 0
1490 -500 50 0.003703580088375143 0
1500 -500 50 0.003646217524771418 0
-500 -490 50 -0.00186046170167616 0
-490 -490 50 -0.001867796061073253 0
-480 -490 50 -0.001874288561377771 0
-470 -490 50 -0.00187988797026006 0
-460 -490 50 -0.001884541281782295 0
-450 -490 50 -0.001888193714064677 0
-440 -490 50 -0.001890788712988688 0
-430 -490 50 -0.001892267962518224 0
-420 -490 50 -0.00189257140226073 0
-410 -490 50 -0.001891637252892377 0
-400 -490 50 -0.001889402050107625 0
-390 -490 50 -0.001885800687765589 0
-380 -490 50 -0.001880766470906778 0
-370 -490 50 -0.001874231179349011 0
-360 -490 50 -0.001866125142549588 0
-350 -490 50 -0.001856377326429436 0
-340 -490 50 -0.001844915432850055 0
-330 -490 50 -0.001831666012406676 0
-320 -490 50 -0.001816554591190343 0
-310 -490 50 -0.001799505812126535 0
-300 -490 50 -0.001780443591458536 0
-290 -490 50 -0.001759291290891127 0
-280 -490 50 -0.00173597190583841 0
-270 -490 50 -0.001710408270142982 0
-260 -490 50 -0.001682523277548698 0
-250 -490 50 -0.001652240120084758 0
-240 -490 50 -0.001619482543421499 0
-230 -490 50 -0.001584175119100655 0
-220 -490 50 -0.001546243533413471 0
-210 -490 50 -0.001505614892523814 0
-200 -490 50 -0.001462218043254505 0
-190 -490 50 -0.001415983908775168 0
-180 -490 50 -0.001366845838211437 0
-170 -490 50 -0.001314739968992959 0
-160 -490 50 -0.001259605600527114 0
-150 -490 50 -0.001201385577556432 0
-140 -490 50 -0.001140026681326263 0
-130 -490 50 -0.00107548002644243 0
-120 -490 50 -0.00100770146108925 0
-110 -490 50 -0.0009366519680101558 0
-100 -490 50 -0.0008622980634899949 0
-90 -490 50 -0.0007846121913213965 0
-80 -490 50 -0.0007035731085986727 0
-70 -490 50 -0.000619166260002438 0
-60 -490 50 -0.0005313841371110669 0
-50 -490 50 -0.0004402266192090123 0
-40 -490 50 -0.0003457012919643988 0
-30 -490 50 -0.0002478237403916791 0
-20 -490 50 -0.0001466178125162954 0
-10 -490 50 -4.211585026974459e-05 0
0 -490 50 6.564111569871792e-05 0
10 -490 50 0.0001766032104337669 0
20 -490 50 0.0002907116011539064 0
30 -490 50 0.0004078984283466059 0
40 -490 50 0.0005280867836511585 0
50 -490 50 0.0006511907362630882 0
60 -490 50 0.0007771154091485403 0
70 -490 50 0.0009057571058256335 0
80 -490 50 0.001037003487942443 0
90 -490 50 0.001170733803307259 0
100 -490 50 0.001306819163455994 0
110 -490 50 0.001445122869260847 0
120 -490 50 0.001585500782511546 0
130 -490 50 0.001727801740861983 0
140 -490 50 0.001871868013016602 0
150 -490 50 0.00201753579056433 0
160 -490 50 0.002164635712465487 0
170 -490 50 0.002312993417851581 0
180 -490 50 0.002462430122522826 0
190 -490 50 0.002612763214374639 0
200 -490 50 0.002763806862829159 0
210 -490 50 0.002915372637405294 0
220 -490 50 0.003067270130589644 0
230 -490 50 0.003219307580342743 0
240 -490 50 0.003371292487846194 0
250 -490 50 0.00352303222634963 0
260 -490 50 0.003674334637426879 0
270 -490 50 0.003825008611301575 0
280 -490 50 0.003974864648409938 0
290 -490 50 0.004123715399842634 0
300 -490 50 0.00427137618476751 0
310 -490 50 0.004417665483462774 0
320 -490 50 0.004562405405012855 0
330 -490 50 0.004705422129156781 0
340 -490 50 0.00484654632216805 0
350 -490 50 0.004985613526943952 0
360 -490 50 0.005122464527757266 0
370 -490 50 0.005256945690307228 0
380 -490 50 0.005388909277821099 0
390 -490 50 0.005518213743998438 0
400 -490 50 0.005644724003582895 0
410 -490 50 0.005768311681230487 0
420 -490 50 0.005888855339234951 0
430 -490 50 0.006006240684455868 0
440 -490 50 0.006120360754575813 0
450 -490 50 0.006231116083588663 0
460 -490 50 0.006338414846123333 0
470 -490 50 0.006442172980009472 0
480 -490 50 0.006542314286212246 0
490 -490 50 0.00663877050508511 0
500 -490 50 0.006731481367741563 0
510 -490 50 0.006820394621191459 0
520 -490 50 0.006905466025908827 0
530 -490 50 0.006986659324453244 0
540 -490 50 0.007063946179902703 0
550 -490 50 0.007137306083000131 0
560 -490 50 0.007206726227146514 0
570 -490 50 0.007272201350691409 0
580 -490 50 0.007333733546315757 0
590 -490 50 0.007391332037727536 0
600 -490 50 0.007445012924352191 0
610 -490 50 0.007494798895166186 0
620 -490 50 0.007540718913356577 0
630 -490 50 0.007582807873962288 0
640 -490 50 0.007621106237170952 0
650 -490 50 0.007655659640386863 0
660 -490 50 0.007686518492624201 0
670 -490 50 0.007713737555129234 0
680 -490 50 0.007737375512445023 0
690 -490 50 0.007757494538322436 0
700 -490 50 0.007774159861068525 0
710 -490 50 0.00778743933288064 0
720 -490 50 0.007797403007745115 0
730 -490 50 0.007804122732264039 0
740 -490 50 0.007807671753564257 0
750 -490 50 0.007808124348130547 0
760 -490 50 0.007805555474946151 0
