# y(m)-easting x(m)-northing ele(m) obs-val(mGal|Eo) obs-dev(mGal|Eo)
-500 -500 50 1.936753036888872 0
-490 -500 50 1.969168876096323 0
-480 -500 50 2.002080168666072 0
-470 -500 50 2.035487628471514 0
-460 -500 50 2.069391428310049 0
-450 -500 50 2.103791161714572 0
-440 -500 50 2.138685803163999 0
-430 -500 50 2.174073666764315 0
-420 -500 50 2.209952363349998 0
-410 -500 50 2.246318756051628 0
-400 -500 50 2.283168914398409 0
-390 -500 50 2.320498066924316 0
-380 -500 50 2.358300552415184 0
-370 -500 50 2.396569769815654 0
-360 -500 50 2.435298126904223 0
-350 -500 50 2.474476987837406 0
-340 -500 50 2.514096619686032 0
-330 -500 50 2.55414613811772 0
-320 -500 50 2.594613452363402 0
-310 -500 50 2.635485209669992 0
-300 -500 50 2.676746739431452 0
-290 -500 50 2.718381997283158 0
-280 -500 50 2.760373509316363 0
-270 -500 50 2.802702316801538 0
-260 -500 50 2.845347921660308 0
-250 -500 50 2.888288233061052 0
-240 -500 50 2.931499515480465 0
-230 -500 50 2.974956338650832 0
-220 -500 50 3.01863152977674 0
-210 -500 50 3.062496128516169 0
-200 -500 50 3.106519345174486 0
-190 -500 50 3.150668522597936 0
-180 -500 50 3.194909102340295 0
-170 -500 50 3.239204595590451 0
-160 -500 50 3.283516559475203 0
-150 -500 50 3.327804579290504 0
-140 -500 50 3.372026257249419 0
-130 -500 50 3.416137208364327 0
-120 -500 50 3.460091064057237 0
-110 -500 50 3.503839484103103 0
-100 -500 50 3.547332177460309 0
-90 -500 50 3.590516932628093 0
-80 -500 50 3.633339658014739 0
-70 -500 50 3.675744432874615 0
-60 -500 50 3.717673569272387 0
-50 -500 50 3.75906768554392 0
-40 -500 50 3.799865791581889 0
-30 -500 50 3.840005386277942 0
-20 -500 50 3.879422567395448 0
-10 -500 50 3.91805215397199 0
0 -500 50 3.955827821357976 0
10 -500 50 3.99268224886435 0
20 -500 50 4.028547279843444 0
30 -500 50 4.063354094023443 0
40 -500 50 4.097033391685115 0
50 -500 50 4.129515589225647 0
60 -500 50 4.16073102550168 0
70 -500 50 4.190610178221622 0
80 -500 50 4.219083889588926 0
90 -500 50 4.246083600157776 0
100 -500 50 4.27154158988514 0
110 -500 50 4.295391225170092 0
120 -500 50 4.31756721059199 0
130 -500 50 4.338005843976354 0
140 -500 50 4.356645273341322 0
150 -500 50 4.373425754160404 0
160 -500 50 4.388289905455337 0
170 -500 50 4.401182963020991 0
180 -500 50 4.412053028183916 0
190 -500 50 4.420851310538019 0
200 -500 50 4.427532362928999 0
210 -500 50 4.432054307187697 0
220 -500 50 4.434379049101811 0
230 -500 50 4.434472481084613 0
240 -500 50 4.432304671278797 0
250 -500 50 4.427850037720085 0
260 -500 50 4.421087506458143 0
270 -500 50 4.412000652569675 0
280 -500 50 4.400577823128886 0
290 -500 50 4.386812241429702 0
300 -500 50 4.37070209167967 0
310 -500 50 4.352250583874811 0
320 -500 50 4.33146599828213 0
330 -500 50 4.308361709454951 0
340 -500 50 4.282956189725148 0
350 -500 50 4.255272992055711 0
360 -500 50 4.225340712672773 0
370 -500 50 4.19319293352763 0
380 -500 50 4.158868145127573 0
390 -500 50 4.122409650251782 0
400 -500 50 4.083865448945879 0
410 -500 50 4.043288105682966 0
420 -500 50 4.000734599194773 0
430 -500 50 3.956266155850844 0
440 -500 50 3.909948067467961 0
450 -500 50 3.861849494166206 0
460 -500 50 3.812043253481268 0
470 -500 50 3.760605596383066 0
480 -500 50 3.707615971281404 0
490 -500 50 3.653156777031883 0
500 -500 50 3.597313105739635 0
510 -500 50 3.540172476641601 0
520 -500 50 3.481824561870618 0
530 -500 50 3.422360905265442 0
540 -500 50 3.36187463540162 0
550 -500 50 3.30046017369295 0
560 -500 50 3.238212939059262 0
570 -500 50 3.175229050016977 0
580 -500 50 3.111605025551104 0
590 -500 50 3.047437486080526 0
600 -500 50 2.982822855497686 0
610 -500 50 2.917857065942378 0
620 -500 50 2.852635266268945 0
630 -500 50 2.787251535773768 0
640 -500 50 2.721798604455157 0
650 -500 50 2.656367581001108 0
660 -500 50 2.591047690088833 0
670 -500 50 2.525926020033932 0
680 -500 50 2.461087282236925 0
690 -500 50 2.39661358359473 0
700 -500 50 2.332584212941316 0
710 -500 50 2.269075442816412 0
720 -500 50 2.206160347301012 0
730 -500 50 2.143908637019051 0
740 -500 50 2.082386512013752 0
750 -500 50 2.021656533048978 0
760 -500 50 1.961777512071977 0
770 -500 50 1.902804421983522 0
780 -500 50 1.844788326115129 0
790 -500 50 1.787776327374439 0
800 -500 50 1.731811536989216 0
810 -500 50 1.676933062661902 0
820 -500 50 1.623176015676386 0
830 -500 50 1.570571536455879 0
840 -500 50 1.51914683785557 0
850 -500 50 1.468925265400555 0
860 -500 50 1.419926373519501 0
870 -500 50 1.372166016756596 0
880 -500 50 1.325656454817832 0
890 -500 50 1.280406470219039 0
900 -500 50 1.236421497296227 0
910 -500 50 1.193703761266172 0
920 -500 50 1.152252425950094 0
930 -500 50 1.112063748884003 0
940 -500 50 1.073131242327588 0
950 -500 50 1.035445838990874 0
960 -500 50 0.9989960610535172 0
970 -500 50 0.9637681912627344 0
980 -500 50 0.9297464449281559 0
990 -500 50 0.896913141585207 0
1000 -500 50 0.8652488753501953 0
1010 -500 50 0.8347326829186357 0
1020 -500 50 0.805342208323987 0
1030 -500 50 0.7770538636588503 0
1040 -500 50 0.7498429849391182 0
1050 -500 50 0.7236839826300787 0
1060 -500 50 0.6985504861316018 0
1070 -500 50 0.6744154818820567 0
1080 -500 50 0.6512514446795309 0
1090 -500 50 0.6290304618520988 0
1100 -500 50 0.6077243502382668 0
1110 -500 50 0.5873047656860534 0
1120 -500 50 0.5677433051070924 0
1130 -500 50 0.5490116010306368 0
1140 -500 50 0.5310814087362612 0
1150 -500 50 0.5139246860886225 0
1160 -500 50 0.4975136661986406 0
1170 -500 50 0.4818209231068958 0
1180 -500 50 0.4668194307730317 0
1190 -500 50 0.452482615501885 0
1200 -500 50 0.4387844022477832 0
1210 -500 50 0.4256992549573972 0
1220 -500 50 0.4132022113137688 0
1230 -500 50 0.4012689122493873 0
1240 -500 50 0.3898756264226718 0
1250 -500 50 0.3789992701413266 0
1260 -500 50 0.3686174229463493 0
1270 -500 50 0.358708339213986 0
1280 -500 50 0.3492509561212539 0
1290 -500 50 0.340224898201559 0
1300 -500 50 0.3316104789127065 0
1310 -500 50 0.3233886993692748 0
1320 -500 50 0.315541244611824 0
1330 -500 50 0.3080504776528943 0
1340 -500 50 0.3008994314906426 0
1350 -500 50 0.2940717994159145 0
1360 -500 50 0.2875519237732318 0
1370 -500 50 0.2813247833767462 0
1380 -500 50 0.2753759798211356 0
1390 -500 50 0.269691722815359 0
1400 -500 50 0.2642588147262178 0
1410 -500 50 0.2590646344840478 0
1420 -500 50 0.2540971209727972 0
1430 -500 50 0.2493447560621242 0
1440 -500 50 0.2447965473504117 0
1450 -500 50 0.2404420107572405 0
1460 -500 50 0.2362711530480068 0
1470 -500 50 0.2322744543511198 0
1480 -500 50 0.2284428508059569 0
1490 -500 50 0.2247677172981036 0
1500 -500 50 0.2212408504656528 0
-500 -490 50 1.974029584293484 0
-490 -490 50 2.007493257290215 0
-480 -490 50 2.041481122431742 0
-470 -490 50 2.075994478535015 0
-460 -490 50 2.111034075257493 0
-450 -490 50 2.146600072699102 0
-440 -490 50 2.182691999300215 0
-430 -490 50 2.219308707966911 0
-420 -490 50 2.256448330454818 0
-410 -490 50 2.294108230047337 0
-400 -490 50 2.332284952494579 0
-390 -490 50 2.370974175331561 0
-380 -490 50 2.41017065553969 0
-370 -490 50 2.449868175710606 0
-360 -490 50 2.49005948871581 0
-350 -490 50 2.530736261040503 0
-340 -490 50 2.571889014867796 0
-330 -490 50 2.613507069094993 0
-320 -490 50 2.655578479376568 0
-310 -490 50 2.698089977484443 0
-300 -490 50 2.741026910099257 0
-290 -490 50 2.784373177330952 0
-280 -490 50 2.8281111712415 0
-270 -490 50 2.872221714620613 0
-260 -490 50 2.916684000397596 0
-250 -490 50 2.961475531992526 0
-240 -490 50 3.006572065066848 0
-230 -490 50 3.051947551021919 0
-220 -490 50 3.097574082750719 0
-210 -490 50 3.143421843114303 0
-200 -490 50 3.189459056635519 0
-190 -490 50 3.235651945018627 0
-180 -490 50 3.281964686989458 0
-170 -490 50 3.32835938312204 0
-160 -490 50 3.374796026242467 0
-150 -490 50 3.421232478062422 0
-140 -490 50 3.467624452706742 0
-130 -490 50 3.513925507791598 0
-120 -490 50 3.560087043736778 0
-110 -490 50 3.606058312001226 0
-100 -490 50 3.651786432893432 0
-90 -490 50 3.697216423601313 0
-80 -490 50 3.742291237111593 0
-70 -490 50 3.786951812567146 0
-60 -490 50 3.831137137691447 0
-50 -490 50 3.874784323687766 0
-40 -490 50 3.91782869319566 0
-30 -490 50 3.96020388156194 0
-20 -490 50 4.001841951800749 0
-10 -490 50 4.042673523442107 0
0 -490 50 4.082627915368494 0
10 -490 50 4.121633302640912 0
20 -490 50 4.159616887238839 0
30 -490 50 4.19650508243417 0
40 -490 50 4.232223710459859 0
50 -490 50 4.266698212977118 0
60 -490 50 4.29985387368526 0
70 -490 50 4.331616052322892 0
80 -490 50 4.361910429137351 0
90 -490 50 4.390663258739609 0
100 -490 50 4.417801632250593 0
110 -490 50 4.443253746296855 0
120 -490 50 4.466949177590066 0
130 -490 50 4.488819161425158 0
140 -490 50 4.508796872559051 0
150 -490 50 4.526817706773794 0
160 -490 50 4.542819561312123 0
170 -490 50 4.55674311244656 0
180 -490 50 4.568532088362523 0
190 -490 50 4.57813353547717 0
200 -490 50 4.58549807646995 0
210 -490 50 4.590580158190303 0
220 -490 50 4.593338287789061 0
230 -490 50 4.593735255427957 0
240 -490 50 4.591738341990766 0
250 -490 50 4.587319510483996 0
260 -490 50 4.580455579698516 0
270 -490 50 4.571128379072039 0
280 -490 50 4.559324883708733 0
290 -490 50 4.545037328703472 0
300 -490 50 4.528263302104839 0
310 -490 50 4.509005815916884 0
320 -490 50 4.487273354881994 0
330 -490 50 4.463079902709926 0
340 -490 50 4.436444945825571 0
350 -490 50 4.407393454597264 0
360 -490 50 4.375955842363889 0
370 -490 50 4.342167902590591 0
380 -490 50 4.306070724568577 0
390 -490 50 4.267710588317556 0
400 -490 50 4.227138839261237 0
410 -490 50 4.184411743473655 0
420 -490 50 4.13959032428767 0
430 -490 50 4.092740181076487 0
440 -490 50 4.043931291212211 0
450 -490 50 3.993237796052301 0
460 -490 50 3.940737771960863 0
470 -490 50 3.886512987418882 0
480 -490 50 3.830648647125585 0
490 -490 50 3.773233124288372 0
500 -490 50 3.714357682031631 0
510 -490 50 3.654116185077723 0
520 -490 50 3.592604802796612 0
530 -490 50 3.52992170472215 0
540 -490 50 3.466166749762418 0
550 -490 50 3.401441170161462 0
560 -490 50 3.335847251589178 0
570 -490 50 3.269488010486082 0
580 -490 50 3.202466869996208 0
590 -490 50 3.134887335850928 0
600 -490 50 3.066852673486141 0
610 -490 50 2.998465587875212 0
620 -490 50 2.929827907445152 0
630 -490 50 2.861040273507782 0
640 -490 50 2.79220183679594 0
650 -490 50 2.723409962355057 0
660 -490 50 2.654759944495782 0
670 -490 50 2.586344733074421 0
680 -490 50 2.518254672561983 0
690 -490 50 2.450577255357177 0
700 -490 50 2.38339689045126 0
710 -490 50 2.316794688878037 0
720 -490 50 2.25084826689056 0
730 -490 50 2.185631567957843 0
740 -490 50 2.121214704501517 0
750 -490 50 2.057663819961545 0
760 -490 50 1.995040971949334 0
770 -490 50 1.933404036796148 0
780 -490 50 1.87280663577834 0
790 -490 50 1.813298083114937 0
800 -490 50 1.75492335559619 0
810 -490 50 1.697723083623217 0
820 -490 50 1.641733563128737 0
830 -490 50 1.586986787834617 0
840 -490 50 1.533510501017493 0
850 -490 50 1.481328265874328 0
860 -490 50 1.430459553430814 0
870 -490 50 1.380919846770965 0
880 -490 50 1.332720760392403 0
890 -490 50 1.285870173198051 0
900 -490 50 1.240372373775744 0
910 -490 50 1.196228216468415 0
920 -490 50 1.153435286633224 0
930 -490 50 1.11198807371252 0
940 -490 50 1.071878150447483 0
950 -490 50 1.033094356827975 0
960 -490 50 0.995622987297528 0
970 -490 50 0.9594479797630937 0
980 -490 50 0.9245511051857991 0
990 -490 50 0.8909121563390826 0
1000 -490 50 0.8585091346754736 0
1010 -490 50 0.8273184341644214 0
1020 -490 50 0.7973150211208537 0
1030 -490 50 0.7684726091674965 0
1040 -490 50 0.7407638284947949 0
1050 -490 50 0.7141603888233575 0
1060 -490 50 0.688633235414042 0
1070 -490 50 0.6641526977122454 0
1080 -490 50 0.6406886302160828 0
1090 -490 50 0.6182105453606641 0
1100 -490 50 0.5966877380859384 0
1110 -490 50 0.5760894021403843 0
1120 -490 50 0.5563847379548289 0
1130 -490 50 0.5375430522340912 0
1140 -490 50 0.5195338492463242 0
1150 -490 50 0.5023269140595482 0
1160 -490 50 0.4858923878695479 0
1170 -490 50 0.4702008356880888 0
1180 -490 50 0.4552233066684975 0
1190 -490 50 0.4409313873371865 0
1200 -490 50 0.4272972481280057 0
