# x(m) y(m) ele(m) obs-val(mGal|Eo) obs-dev(mGal|Eo)
10 10 0 0.0169813512530633 0
30 10 0 0.01793271772386806 0
50 10 0 0.01893059895240819 0
70 10 0 0.01997453503545657 0
90 10 0 0.02106338362021238 0
110 10 0 0.02219519749519275 0
130 10 0 0.02336709716654254 0
150 10 0 0.02457514289324852 0
170 10 0 0.02581421221029529 0
190 10 0 0.02707789061056417 0
210 10 0 0.02835838464093576 0
230 10 0 0.02964646799529917 0
250 10 0 0.03093147200610993 0
270 10 0 0.03220133196373012 0
290 10 0 0.03344269964545957 0
310 10 0 0.03464113008663023 0
330 10 0 0.03578134685930859 0
350 10 0 0.03684758500452102 0
370 10 0 0.03782400457043356 0
390 10 0 0.03869516095671619 0
410 10 0 0.0394465116611671 0
430 10 0 0.04006493339098564 0
450 10 0 0.04053921964397855 0
470 10 0 0.04086052745215198 0
490 10 0 0.04102274340753315 0
510 10 0 0.04102274340753465 0
530 10 0 0.04086052745213981 0
550 10 0 0.04053921964393907 0
570 10 0 0.04006493339097197 0
590 10 0 0.0394465116611337 0
610 10 0 0.03869516095668283 0
630 10 0 0.0378240045704169 0
650 10 0 0.03684758500448386 0
670 10 0 0.03578134685928508 0
690 10 0 0.03464113008661127 0
710 10 0 0.03344269964543604 0
730 10 0 0.0322013319636918 0
750 10 0 0.03093147200610687 0
770 10 0 0.02964646799530447 0
790 10 0 0.02835838464093843 0
810 10 0 0.02707789061056078 0
830 10 0 0.02581421221030519 0
850 10 0 0.02457514289324627 0
870 10 0 0.02336709716651335 0
890 10 0 0.02219519749518708 0
910 10 0 0.02106338362022187 0
930 10 0 0.0199745350354581 0
950 10 0 0.01893059895241922 0
970 10 0 0.01793271772384871 0
990 10 0 0.01698135125307697 0
10 30 0 0.01793271772386805 0
30 30 0 0.01897618173643286 0
50 30 0 0.02007443968691628 0
70 30 0 0.02122746394721376 0
90 30 0 0.02243447434206193 0
110 30 0 0.02369378621250986 0
130 30 0 0.02500264874229907 0
150 30 0 0.02635707845254603 0
170 30 0 0.02775169485155586 0
190 30 0 0.02917956751932986 0
210 30 0 0.03063208624530328 0
230 30 0 0.03209886796453758 0
250 30 0 0.03356771580723684 0
270 30 0 0.03502464617664586 0
290 30 0 0.03645399896249114 0
310 30 0 0.03783864339375422 0
330 30 0 0.03916028739114534 0
350 30 0 0.04039989159763 0
370 30 0 0.04153818086823455 0
390 30 0 0.04255623658092796 0
410 30 0 0.04343614368722226 0
430 30 0 0.0441616581659237 0
450 30 0 0.04471885468623672 0
470 30 0 0.04509671184491487 0
490 30 0 0.04528759393468149 0
510 30 0 0.04528759393467847 0
530 30 0 0.04509671184492701 0
550 30 0 0.04471885468622755 0
570 30 0 0.04416165816588725 0
590 30 0 0.04343614368719794 0
610 30 0 0.04255623658089152 0
630 30 0 0.04153818086820874 0
650 30 0 0.04039989159760191 0
670 30 0 0.03916028739112106 0
690 30 0 0.03783864339371405 0
710 30 0 0.03645399896245664 0
730 30 0 0.03502464617660456 0
750 30 0 0.03356771580720309 0
770 30 0 0.03209886796454629 0
790 30 0 0.03063208624531541 0
810 30 0 0.02917956751933101 0
830 30 0 0.0277516948515589 0
850 30 0 0.02635707845253845 0
870 30 0 0.0250026487423116 0
890 30 0 0.02369378621252694 0
910 30 0 0.02243447434206876 0
930 30 0 0.02122746394721681 0
950 30 0 0.02007443968692236 0
970 30 0 0.01897618173642985 0
990 30 0 0.0179327177238381 0
10 50 0 0.01893059895240213 0
30 50 0 0.02007443968691629 0
50 50 0 0.0212826330200633 0
70 50 0 0.02255573589065119 0
90 50 0 0.02389348615997304 0
110 50 0 0.02529461584233934 0
130 50 0 0.02675664801421265 0
150 50 0 0.02827568253806058 0
170 50 0 0.02984617846355969 0
190 50 0 0.03146074410847487 0
210 50 0 0.03310994919038394 0
230 50 0 0.03478217665535878 0
250 50 0 0.03646353457304344 0
270 50 0 0.0381378500450199 0
290 50 0 0.0397867668425337 0
310 50 0 0.04138996580899314 0
330 50 0 0.04292552146570128 0
350 50 0 0.04437039960771531 0
370 50 0 0.04570108932232552 0
390 50 0 0.04689434971070556 0
410 50 0 0.04792803807409653 0
430 50 0 0.04878197421658585 0
450 50 0 0.04943878665022165 0
470 50 0 0.04988468241849298 0
490 50 0 0.05011008394390698 0
510 50 0 0.05011008394390243 0
530 50 0 0.04988468241847929 0
550 50 0 0.04943878665021247 0
570 50 0 0.04878197421656909 0
590 50 0 0.04792803807406765 0
610 50 0 0.04689434971067141 0
630 50 0 0.04570108932229439 0
650 50 0 0.04437039960769404 0
670 50 0 0.04292552146568078 0
690 50 0 0.04138996580896089 0
710 50 0 0.03978676684250978 0
730 50 0 0.03813785004501002 0
750 50 0 0.03646353457301989 0
770 50 0 0.03478217665535003 0
790 50 0 0.03310994919038698 0
810 50 0 0.03146074410848283 0
830 50 0 0.02984617846357107 0
850 50 0 0.02827568253806286 0
870 50 0 0.02675664801421757 0
890 50 0 0.02529461584234994 0
910 50 0 0.02389348615997832 0
930 50 0 0.02255573589065154 0
950 50 0 0.02128263302006516 0
970 50 0 0.02007443968692082 0
990 50 0 0.01893059895241919 0
10 70 0 0.01997453503545658 0
30 70 0 0.02122746394721378 0
50 70 0 0.02255573589065119 0
70 70 0 0.02396067949873123 0
90 70 0 0.02544274630463563 0
110 70 0 0.02700128351356041 0
130 70 0 0.02863428150521189 0
150 70 0 0.03033810107010724 0
170 70 0 0.03210718887835481 0
190 70 0 0.03393379389255666 0
210 70 0 0.03580770217834173 0
230 70 0 0.03771601245911068 0
250 70 0 0.03964297920653839 0
270 70 0 0.04156995323041493 0
290 70 0 0.04347545063293245 0
310 70 0 0.04533537860540495 0
330 70 0 0.04712344001254623 0
350 70 0 0.04881172764066619 0
370 70 0 0.05037150368045155 0
390 70 0 0.05177414165480559 0
410 70 0 0.05299218861524186 0
430 70 0 0.05400048765150126 0
450 70 0 0.05477728736999431 0
470 70 0 0.0553052583815526 0
490 70 0 0.05557233848914645 0
510 70 0 0.05557233848914947 0
530 70 0 0.0553052583815571 0
550 70 0 0.05477728736997449 0
570 70 0 0.05400048765147078 0
590 70 0 0.05299218861520232 0
610 70 0 0.05177414165477139 0
630 70 0 0.05037150368042113 0
650 70 0 0.04881172764063806 0
670 70 0 0.04712344001252119 0
690 70 0 0.04533537860538372 0
710 70 0 0.04347545063290401 0
730 70 0 0.04156995323038346 0
750 70 0 0.03964297920653235 0
770 70 0 0.03771601245909515 0
790 70 0 0.03580770217835577 0
810 70 0 0.03393379389255965 0
830 70 0 0.0321071888783582 0
850 70 0 0.03033810107011293 0
870 70 0 0.02863428150521114 0
890 70 0 0.0270012835135566 0
910 70 0 0.0254427463046413 0
930 70 0 0.02396067949873385 0
950 70 0 0.02255573589064887 0
970 70 0 0.02122746394723005 0
990 70 0 0.01997453503544784 0
10 90 0 0.02106338362021239 0
30 90 0 0.02243447434205588 0
50 90 0 0.02389348615997304 0
70 90 0 0.02544274630463562 0
90 90 0 0.02708366201175599 0
110 90 0 0.0288164471579814 0
130 90 0 0.03063981174832058 0
150 90 0 0.03255061853532994 0
170 90 0 0.03454351542663002 0
190 90 0 0.03661055786476618 0
210 90 0 0.0387408418931939 0
230 90 0 0.04092017574192655 0
250 90 0 0.04313082472390525 0
270 90 0 0.0453513699041906 0
290 90 0 0.04755672393717737 0
310 90 0 0.04971834604913063 0
330 90 0 0.05180469090692905 0
350 90 0 0.05378191217017055 0
370 90 0 0.05561482099820707 0
390 90 0 0.0572680741623183 0
410 90 0 0.05870753857491727 0
430 90 0 0.05990175291274104 0
450 90 0 0.06082338683188057 0
470 90 0 0.06145058772302769 0
490 90 0 0.06176810633133411 0
510 90 0 0.06176810633132347 0
530 90 0 0.06145058772301554 0
550 90 0 0.06082338683186687 0
570 90 0 0.05990175291270988 0
590 90 0 0.05870753857488537 0
610 90 0 0.05726807416227656 0
630 90 0 0.05561482099816382 0
650 90 0 0.05378191217015539 0
670 90 0 0.05180469090690633 0
690 90 0 0.04971834604912195 0
710 90 0 0.04755672393718499 0
730 90 0 0.04535136990417281 0
750 90 0 0.04313082472391327 0
770 90 0 0.04092017574192851 0
790 90 0 0.03874084189320649 0
810 90 0 0.0366105578647875 0
830 90 0 0.03454351542664488 0
850 90 0 0.03255061853533036 0
870 90 0 0.0306398117483274 0
890 90 0 0.02881644715798483 0
910 90 0 0.02708366201173854 0
930 90 0 0.02544274630463753 0
950 90 0 0.02389348615996202 0
970 90 0 0.0224344743420676 0
990 90 0 0.0210633836202135 0
10 110 0 0.02219519749519277 0
30 110 0 0.02369378621250986 0
50 110 0 0.02529461584233932 0
70 110 0 0.02700128351356038 0
90 110 0 0.0288164471579814 0
110 110 0 0.03074150069033779 0
130 110 0 0.03277619662033839 0
150 110 0 0.03491821876592301 0
170 110 0 0.03716271305588406 0
190 110 0 0.03950179148785234 0
210 110 0 0.04192403309887329 0
230 110 0 0.04441401591249507 0
250 110 0 0.04695192436009559 0
270 110 0 0.0495132861549925 0
290 110 0 0.05206889894653968 0
310 110 0 0.05458500782046105 0
330 110 0 0.0570237873800719 0
350 110 0 0.05934416496856949 0
370 110 0 0.06150299426098084 0
390 110 0 0.06345655274223401 0
410 110 0 0.06516229656228852 0
430 110 0 0.0665807677939823 0
450 110 0 0.06767751875284297 0
470 110 0 0.06842490146931876 0
490 110 0 0.06880357114915661 0
510 110 0 0.06880357114916419 0
530 110 0 0.06842490146932638 0
550 110 0 0.06767751875283233 0
570 110 0 0.06658076779395034 0
590 110 0 0.06516229656226419 0
610 110 0 0.06345655274219834 0
630 110 0 0.06150299426094633 0
650 110 0 0.05934416496855813 0
670 110 0 0.0570237873800617 0
690 110 0 0.05458500782045426 0
710 110 0 0.05206889894652913 0
730 110 0 0.04951328615499445 0
750 110 0 0.04695192436009334 0
770 110 0 0.04441401591250041 0
790 110 0 0.04192403309888883 0
810 110 0 0.03950179148786942 0
830 110 0 0.03716271305590573 0
850 110 0 0.0349182187659238 0
870 110 0 0.03277619662033916 0
890 110 0 0.03074150069035186 0
910 110 0 0.02881644715797422 0
930 110 0 0.02700128351355057 0
950 110 0 0.025294615842342 0
970 110 0 0.02369378621252769 0
990 110 0 0.02219519749518973 0
10 130 0 0.02336709716654255 0
30 130 0 0.02500264874229907 0
50 130 0 0.02675664801421264 0
70 130 0 0.0286342815052119 0
90 130 0 0.03063981174832056 0
110 130 0 0.03277619662033229 0
130 130 0 0.03504463654701673 0
150 130 0 0.03744404936157447 0
170 130 0 0.03997047883620714 0
190 130 0 0.04261645171945248 0
210 130 0 0.04537030965763168 0
230 130 0 0.04821555638251522 0
250 130 0 0.05113027604603206 0
270 130 0 0.05408669370394712 0
290 130 0 0.05705096080905562 0
310 130 0 0.05998325343677416 0
330 130 0 0.06283826481380611 0
350 130 0 0.06556615326140044 0
370 130 0 0.06811397062321975 0
390 130 0 0.07042754657487481 0
410 130 0 0.07245374660858922 0
430 130 0 0.07414296479433256 0
450 130 0 0.07545166678149899 0
470 130 0 0.0763447728180516 0
490 130 0 0.07679767019422433 0
510 130 0 0.07679767019422433 0
530 130 0 0.07634477281805929 0
550 130 0 0.07545166678148237 0
570 130 0 0.07414296479430002 0
590 130 0 0.07245374660856119 0
610 130 0 0.07042754657483503 0
630 130 0 0.06811397062318522 0
650 130 0 0.06556615326139248 0
670 130 0 0.062838264813791 0
690 130 0 0.0599832534367575 0
710 130 0 0.0570509608090534 0
730 130 0 0.05408669370393959 0
750 130 0 0.05113027604604918 0
770 130 0 0.04821555638253839 0
790 130 0 0.04537030965765863 0
810 130 0 0.04261645171949037 0
830 130 0 0.03997047883622492 0
850 130 0 0.03744404936158735 0
870 130 0 0.03504463654703117 0
890 130 0 0.03277619662034373 0
910 130 0 0.03063981174833195 0
930 130 0 0.02863428150521496 0
950 130 0 0.02675664801420319 0
970 130 0 0.0250026487423101 0
990 130 0 0.02336709716653915 0
10 150 0 0.02457514289324852 0
30 150 0 0.02635707845254602 0
50 150 0 0.0282756825380545 0
70 150 0 0.03033810107010724 0
90 150 0 0.03255061853532693 0
110 150 0 0.03491821876592307 0
130 150 0 0.03744404936157447 0
150 150 0 0.04012878490146464 0
170 150 0 0.04296989108248026 0
190 150 0 0.04596080252497313 0
210 150 0 0.0490900417396905 0
230 150 0 0.05234032566706549 0
250 150 0 0.05568772839875871 0
270 150 0 0.059100991940684 0
290 150 0 0.06254109730695827 0
310 150 0 0.06596122036094959 0
330 150 0 0.06930719423796271 0
350 150 0 0.07251857703621795 0
370 150 0 0.07553037658735021 0
390 150 0 0.0782754152540643 0
410 150 0 0.08068723475238102 0
430 150 0 0.0827033573254701 0
450 150 0 0.08426865107740499 0
470 150 0 0.08533850791528334 0
490 150 0 0.08588154050879862 0
510 150 0 0.08588154050880013 0
530 150 0 0.08533850791528567 0
550 150 0 0.08426865107739592 0
570 150 0 0.08270335732545119 0
590 150 0 0.08068723475236173 0
610 150 0 0.07827541525403325 0
630 150 0 0.07553037658733162 0
650 150 0 0.0725185770362009 0
670 150 0 0.06930719423795093 0
690 150 0 0.06596122036094919 0
710 150 0 0.06254109730694385 0
730 150 0 0.05910099194066354 0
750 150 0 0.0556877283987652 0
770 150 0 0.0523403256670879 0
790 150 0 0.0490900417397216 0
810 150 0 0.04596080252501215 0
830 150 0 0.0429698910824946 0
850 150 0 0.04012878490148317 0
870 150 0 0.03744404936158083 0
890 150 0 0.03491821876592949 0
910 150 0 0.03255061853533758 0
930 150 0 0.030338101070127 0
950 150 0 0.02827568253805947 0
970 150 0 0.02635707845252367 0
990 150 0 0.02457514289323905 0
10 170 0 0.02581421221029529 0
30 170 0 0.02775169485155585 0
50 170 0 0.02984617846355968 0
70 170 0 0.03210718887836088 0
90 170 0 0.03454351542663615 0
110 170 0 0.03716271305589015 0
130 170 0 0.0399704788362132 0
150 170 0 0.04296989108248636 0
170 170 0 0.04616050666663088 0
190 170 0 0.04953732433037716 0
210 170 0 0.05308964006058743 0
230 170 0 0.05679984545364505 0
250 170 0 0.06064225094762508 0
270 170 0 0.06458205042955084 0
290 170 0 0.06857457706421981 0
310 170 0 0.0725650244224141 0
330 170 0 0.0764888121455178 0
350 170 0 0.08027275141045659 0
370 170 0 0.08383710565743864 0
390 170 0 0.08709854705838918 0
410 170 0 0.0899738897584436 0
430 170 0 0.0923843572774453 0
450 170 0 0.09426003867638522 0
470 170 0 0.09554412843554026 0
490 170 0 0.09619654085998662 0
510 170 0 0.09619654085998505 0
530 170 0 0.09554412843553491 0
550 170 0 0.09426003867636391 0
570 170 0 0.09238435727743241 0
590 170 0 0.08997388975842048 0
610 170 0 0.08709854705835199 0
630 170 0 0.08383710565741398 0
650 170 0 0.08027275141044263 0
670 170 0 0.0764888121455 0
690 170 0 0.07256502442240802 0
710 170 0 0.06857457706421528 0
730 170 0 0.06458205042956071 0
750 170 0 0.06064225094764637 0
770 170 0 0.05679984545366178 0
790 170 0 0.05308964006060867 0
810 170 0 0.04953732433043895 0
830 170 0 0.04616050666665356 0
850 170 0 0.04296989108249084 0
870 170 0 0.03997047883622454 0
890 170 0 0.03716271305590341 0
910 170 0 0.03454351542663801 0
930 170 0 0.03210718887835975 0
950 170 0 0.02984617846355554 0
970 170 0 0.02775169485153425 0
990 170 0 0.02581421221029 0
10 190 0 0.02707789061056418 0
30 190 0 0.02917956751932985 0
50 190 0 0.03146074410847486 0
70 190 0 0.03393379389256271 0
90 190 0 0.03661055786477234 0
110 190 0 0.03950179148785846 0
130 190 0 0.04261645171945857 0
150 190 0 0.04596080252497921 0
170 190 0 0.04953732433037412 0
190 190 0 0.05334342622592511 0
210 190 0 0.05736998145696695 0
230 190 0 0.06159973842582311 0
250 190 0 0.06600570139009689 0
270 190 0 0.07054962510541743 0
290 190 0 0.07518081982623495 0
310 190 0 0.07983550660390401 0
330 190 0 0.08443698261826163 0
350 190 0 0.08889683558727056 0
370 190 0 0.09311737208508962 0
390 190 0 0.09699529455037728 0
410 190 0 0.1004264899470676 0
430 190 0 0.1033116101570684 0
450 190 0 0.1055619701284196 0
470 190 0 0.107105200317773 0
490 190 0 0.1078900839308364 0
510 190 0 0.1078900839308349 0
530 190 0 0.1071052003177691 0
550 190 0 0.105561970128418 0
570 190 0 0.1033116101570446 0
590 190 0 0.1004264899470532 0
610 190 0 0.09699529455034654 0
630 190 0 0.09311737208506726 0
650 190 0 0.08889683558726758 0
670 190 0 0.08443698261825971 0
690 190 0 0.07983550660391198 0
710 190 0 0.0751808198262475 0
730 190 0 0.07054962510543303 0
750 190 0 0.06600570139011626 0
770 190 0 0.06159973842586863 0
790 190 0 0.05736998145701058 0
810 190 0 0.05334342622597785 0
830 190 0 0.04953732433042649 0
850 190 0 0.04596080252502133 0
870 190 0 0.04261645171948967 0
890 190 0 0.0395017914878812 0
910 190 0 0.0366105578647936 0
930 190 0 0.03393379389256575 0
950 190 0 0.03146074410848096 0
970 190 0 0.02917956751931092 0
990 190 0 0.02707789061054067 0
10 210 0 0.02835838464093576 0
30 210 0 0.03063208624530327 0
50 210 0 0.03310994919037788 0
70 210 0 0.03580770217834785 0
90 210 0 0.03874084189320005 0
110 210 0 0.04192403309887938 0
130 210 0 0.04537030965763781 0
150 210 0 0.04909004173969662 0
170 210 0 0.05308964006058745 0
190 210 0 0.05736998145696693 0
210 210 0 0.06192456475629882 0
230 210 0 0.06673744486246518 0
250 210 0 0.07178104817158484 0
270 210 0 0.07701404267674891 0
290 210 0 0.08237951484443437 0
310 210 0 0.08780377842992246 0
330 210 0 0.09319618569817366 0
350 210 0 0.0984503019387498 0
370 210 0 0.1034467157198703 0
390 210 0 0.1080575811380024 0
410 210 0 0.1121527417849729 0
430 210 0 0.1156070156320518 0
450 210 0 0.1183079893496717 0
470 210 0 0.1201635377192097 0
490 210 0 0.12110827762179 0
510 210 0 0.1211082776217923 0
530 210 0 0.1201635377192022 0
550 210 0 0.118307989349662 0
570 210 0 0.115607015632044 0
590 210 0 0.1121527417849594 0
610 210 0 0.1080575811379733 0
630 210 0 0.1034467157198601 0
650 210 0 0.09845030193875411 0
670 210 0 0.09319618569817228 0
690 210 0 0.08780377842992977 0
710 210 0 0.08237951484444471 0
730 210 0 0.0770140426767801 0
750 210 0 0.0717810481716107 0
770 210 0 0.06673744486248685 0
790 210 0 0.06192456475632879 0
810 210 0 0.0573699814570098 0
830 210 0 0.05308964006060601 0
850 210 0 0.04909004173972124 0
870 210 0 0.04537030965766966 0
890 210 0 0.04192403309889492 0
910 210 0 0.03874084189320421 0
930 210 0 0.03580770217835161 0
950 210 0 0.03310994919038698 0
970 210 0 0.03063208624530405 0
990 210 0 0.02835838464092779 0
10 230 0 0.02964646799529915 0
30 230 0 0.03209886796453756 0
50 230 0 0.03478217665535878 0
70 230 0 0.03771601245911677 0
90 230 0 0.04092017574192655 0
110 230 0 0.04441401591250119 0
130 230 0 0.04821555638252742 0
150 230 0 0.05234032566707156 0
170 230 0 0.05679984545364502 0
190 230 0 0.06159973842582309 0
210 230 0 0.06673744486246522 0
230 230 0 0.07219958297406388 0
250 230 0 0.07795905813459321 0
270 230 0 0.08397212173205974 0
290 230 0 0.09017569520970731 0
310 230 0 0.09648539151817025 0
330 230 0 0.1027947533204434 0
350 230 0 0.1089762424398879 0
370 230 0 0.1148844160253585 0
390 230 0 0.1203614896734568 0
410 230 0 0.1252451356706081 0
430 230 0 0.129377964895994 0
450 230 0 0.1326177960931671 0
470 230 0 0.1348476209181184 0
490 230 0 0.1359841719394217 0
510 230 0 0.1359841719394218 0
530 230 0 0.1348476209181089 0
550 230 0 0.1326177960931539 0
570 230 0 0.1293779648959823 0
590 230 0 0.125245135670588 0
610 230 0 0.1203614896734394 0
630 230 0 0.1148844160253479 0
650 230 0 0.1089762424398865 0
670 230 0 0.1027947533204462 0
690 230 0 0.09648539151819545 0
710 230 0 0.09017569520972521 0
730 230 0 0.08397212173210009 0
750 230 0 0.07795905813463684 0
770 230 0 0.07219958297410595 0
790 230 0 0.06673744486249558 0
810 230 0 0.06159973842585838 0
830 230 0 0.05679984545366591 0
850 230 0 0.05234032566709849 0
870 230 0 0.04821555638253722 0
890 230 0 0.04441401591249246 0
910 230 0 0.04092017574192965 0
930 230 0 0.03771601245910388 0
950 230 0 0.03478217665534397 0
970 230 0 0.03209886796453491 0
990 230 0 0.02964646799529536 0
10 250 0 0.03093147200610992 0
30 250 0 0.03356771580723686 0
50 250 0 0.03646353457304342 0
70 250 0 0.03964297920654447 0
90 250 0 0.04313082472391136 0
110 250 0 0.0469519243601017 0
130 250 0 0.05113027604603817 0
150 250 0 0.05568772839875871 0
170 250 0 0.06064225094762506 0
190 250 0 0.06600570139009683 0
210 250 0 0.07178104817158493 0
230 250 0 0.07795905813459318 0
250 250 0 0.08451454496304667 0
270 250 0 0.09140239997303451 0
290 250 0 0.09855378884531812 0
310 250 0 0.1058730762405797 0
330 250 0 0.1132361924510131 0
350 250 0 0.1204912180881348 0
370 250 0 0.1274618630471886 0
390 250 0 0.1339542080812991 0
410 250 0 0.1397665783308938 0
430 250 0 0.1447018299932415 0
450 250 0 0.1485808174702744 0
470 250 0 0.1512555241328595 0
490 250 0 0.1526203546822696 0
510 250 0 0.1526203546822655 0
530 250 0 0.151255524132853 0
550 250 0 0.1485808174702584 0
570 250 0 0.1447018299932198 0
590 250 0 0.1397665783308763 0
610 250 0 0.1339542080812831 0
630 250 0 0.127461863047166 0
650 250 0 0.1204912180881236 0
670 250 0 0.1132361924510068 0
690 250 0 0.1058730762405841 0
710 250 0 0.09855378884532134 0
730 250 0 0.09140239997304642 0
750 250 0 0.084514544963082 0
770 250 0 0.07795905813463605 0
790 250 0 0.07178104817161328 0
810 250 0 0.06600570139011544 0
830 250 0 0.0606422509476505 0
850 250 0 0.05568772839877203 0
870 250 0 0.05113027604605259 0
890 250 0 0.04695192436010778 0
910 250 0 0.04313082472390607 0
930 250 0 0.03964297920654414 0
950 250 0 0.03646353457302372 0
970 250 0 0.0335677158072016 0
990 250 0 0.0309314720060879 0
10 270 0 0.03220133196373012 0
30 270 0 0.0350246461766459 0
50 270 0 0.03813785004501991 0
70 270 0 0.04156995323042102 0
90 270 0 0.04535136990420273 0
110 270 0 0.04951328615499862 0
130 270 0 0.05408669370395321 0
150 270 0 0.05910099194069004 0
170 270 0 0.06458205042955684 0
190 270 0 0.07054962510542347 0
210 270 0 0.07701404267675491 0
230 270 0 0.08397212173206579 0
250 270 0 0.0914023999730406 0
270 270 0 0.09925989696945776 0
290 270 0 0.1074708628499919 0
310 270 0 0.1159282254286486 0
330 270 0 0.124488696879292 0
350 270 0 0.1329726426387062 0
370 270 0 0.1411677342811399 0
390 270 0 0.1488370154200027 0
410 270 0 0.1557313104528321 0
430 270 0 0.1616050464004557 0
450 270 0 0.1662337967970213 0
470 270 0 0.1694314473767068 0
490 270 0 0.1710649352480225 0
510 270 0 0.1710649352480167 0
530 270 0 0.169431447376706 0
550 270 0 0.1662337967970084 0
570 270 0 0.1616050464004383 0
590 270 0 0.1557313104528206 0
610 270 0 0.1488370154199904 0
630 270 0 0.141167734281119 0
650 270 0 0.132972642638703 0
670 270 0 0.1244886968792953 0
690 270 0 0.1159282254286476 0
710 270 0 0.1074708628500024 0
730 270 0 0.09925989696946938 0
750 270 0 0.09140239997305516 0
770 270 0 0.08397212173210956 0
790 270 0 0.07701404267678115 0
810 270 0 0.07054962510543676 0
830 270 0 0.06458205042957579 0
850 270 0 0.05910099194069006 0
870 270 0 0.05408669370395661 0
890 270 0 0.04951328615501758 0
910 270 0 0.04535136990418871 0
930 270 0 0.04156995323040471 0
950 270 0 0.03813785004501724 0
970 270 0 0.03502464617659432 0
990 270 0 0.03220133196369902 0
10 290 0 0.03344269964545957 0
30 290 0 0.03645399896249725 0
50 290 0 0.03978676684253369 0
70 290 0 0.04347545063293852 0
90 290 0 0.04755672393718345 0
110 290 0 0.05206889894654582 0
130 290 0 0.0570509608090617 0
150 290 0 0.06254109730696127 0
170 290 0 0.06857457706422579 0
190 290 0 0.07518081982624097 0
210 290 0 0.08237951484444042 0
230 290 0 0.09017569520970729 0
250 290 0 0.09855378884532422 0
270 290 0 0.1074708628499919 0
290 290 0 0.1168495690667926 0
310 290 0 0.1265716694541939 0
330 290 0 0.136473404209101 0
350 290 0 0.1463442329657236 0
