# This file is generated by grav2d-cube. Use -h to see options
# x(m) y(m) ele(m) obs-val(mGal)
0 0 200 0.02934879138800679
10 0 199.239 0.03004890094696796
20 0 200.954 0.03081041471538775
30 0 201.715 0.03155285325838234
40 0 201.502 0.03227734312822732
50 0 207.988 0.03312213040562514
60 0 212.176 0.03390620416346424
70 0 214.681 0.03465314862103682
80 0 218.081 0.03539573615667784
90 0 220.015 0.03610972014112617
100 0 224.587 0.03682068623473875
110 0 229.736 0.03750172718592988
120 0 234.109 0.03814881562199418
130 0 236.718 0.03877214327795817
140 0 241.598 0.03935224670000982
150 0 242.972 0.03992987658951083
160 0 246.227 0.04046051598831018
170 0 243.776 0.04103638401989466
180 0 242.549 0.04157590569244898
190 0 243.769 0.04205643627533477
200 0 246.37 0.04248326647005807
210 0 246.377 0.04292170067574424
220 0 245.291 0.04335039545678385
230 0 247.456 0.04368502716579226
240 0 253.288 0.04389925867294318
250 0 246.148 0.04436450245102055
260 0 241.926 0.04472640917797056
270 0 241.466 0.04497565281524447
280 0 240.007 0.0452077619938624
290 0 239.719 0.04537863220351403
300 0 241.775 0.0454634569625187
310 0 245.085 0.04548060671782946
320 0 247.362 0.04547972159101032
330 0 246.145 0.04551974236178243
340 0 247.454 0.0454659876553232
350 0 246.39 0.04542763896880388
360 0 247.13 0.04531412445494296
370 0 241.807 0.04528380548095627
380 0 240.576 0.04513342200567349
390 0 237.627 0.04497251640925243
400 0 235.648 0.04475735875490661
410 0 234.818 0.04449210061273901
420 0 235.086 0.04418340042318995
430 0 236.106 0.04383953223710427
440 0 240.033 0.0434424371160439
450 0 235.769 0.04309810607621187
460 0 232.737 0.04270662511043652
470 0 233.21 0.04227166576883513
480 0 237.606 0.04180445281130886
490 0 229.524 0.04135072775319812
500 0 222.838 0.04083863907967908
510 0 220.721 0.04031181364341981
520 0 218.796 0.0397672536747548
530 0 210.914 0.03913213663021665
540 0 203.13 0.03844353072403914
550 0 199.759 0.03780158926363792
560 0 194.002 0.03708490975928135
570 0 198.095 0.03659658888165689
